	Systematic.name	cluster	cluster.size
K07177	K07177	2	117
K11737	K11737	2	117
K03551	K03551	2	117
K06217	K06217	2	117
K11749	K11749	2	117
K00857	K00857	2	117
K00873	K00873	2	117
K01834	K01834	2	117
K03570	K03570	2	117
K07024	K07024	2	117
K11072	K11072	2	117
K12555	K12555	2	117
K02109	K02109	2	117
K03629	K03629	2	117
K02237	K02237	2	117
K03700	K03700	2	117
K03763	K03763	2	117
K01881	K01881	2	117
K07456	K07456	2	117
K11069	K11069	2	117
K03601	K03601	2	117
K03631	K03631	2	117
K07042	K07042	2	117
K12574	K12574	2	117
K01893	K01893	2	117
K02837	K02837	2	117
K03798	K03798	2	117
K04487	K04487	2	117
K07258	K07258	2	117
K02031	K02031	2	117
K07404	K07404	2	117
K02343	K02343	2	117
K02906	K02906	2	117
K02528	K02528	2	117
K07533	K07533	2	117
K11070	K11070	2	117
K02243	K02243	2	117
K14188	K14188	2	117
K02886	K02886	2	117
K03569	K03569	2	117
K06024	K06024	2	117
K12700	K12700	2	117
K06881	K06881	2	117
K07742	K07742	2	117
K07030	K07030	2	117
K11071	K11071	2	117
K13789	K13789	2	117
K16264	K16264	2	117
K19002	K19002	2	117
K00033	K00033	2	117
K00036	K00036	2	117
K00054	K00054	2	117
K00057	K00057	2	117
K00244	K00244	2	117
K00571	K00571	2	117
K00604	K00604	2	117
K00691	K00691	2	117
K00759	K00759	2	117
K00784	K00784	2	117
K00850	K00850	2	117
K00867	K00867	2	117
K00943	K00943	2	117
K00963	K00963	2	117
K00981	K00981	2	117
K00997	K00997	2	117
K01179	K01179	2	117
K01215	K01215	2	117
K01515	K01515	2	117
K01624	K01624	2	117
K01934	K01934	2	117
K02110	K02110	2	117
K02313	K02313	2	117
K02904	K02904	2	117
K03151	K03151	2	117
K03595	K03595	2	117
K03697	K03697	2	117
K06198	K06198	2	117
K06889	K06889	2	117
K01552	K01552	3	22
K02042	K02042	3	22
K02044	K02044	3	22
K02621	K02621	3	22
K03488	K03488	3	22
K03492	K03492	3	22
K03589	K03589	3	22
K03734	K03734	3	22
K06286	K06286	3	22
K08724	K08724	3	22
K09809	K09809	3	22
K09963	K09963	3	22
K14982	K14982	3	22
K18891	K18891	3	22
K01788	K01788	3	22
K07305	K07305	3	22
K02622	K02622	3	22
K03790	K03790	3	22
K03724	K03724	3	22
K05340	K05340	3	22
K00158	K00158	3	22
K02041	K02041	3	22
K00162	K00162	4	2
K00161	K00161	4	2
K01714	K01714	5	2
K00215	K00215	5	2
K16169	K16169	6	2
K00364	K00364	6	2
K03647	K03647	7	2
K00526	K00526	7	2
K01465	K01465	8	2
K00609	K00609	8	2
K01478	K01478	9	2
K00611	K00611	9	2
K00969	K00969	10	3
K01090	K01090	10	3
K00763	K00763	10	3
K11752	K11752	11	4
K14652	K14652	11	4
K00793	K00793	11	4
K00794	K00794	11	4
K00950	K00950	12	5
K01495	K01495	12	5
K03587	K03587	12	5
K00796	K00796	12	5
K01251	K01251	12	5
K01597	K01597	13	2
K00869	K00869	13	2
K02926	K02926	14	13
K03040	K03040	14	13
K03424	K03424	14	13
K02874	K02874	14	13
K02878	K02878	14	13
K02982	K02982	14	13
K02988	K02988	14	13
K05592	K05592	14	13
K03723	K03723	14	13
K00939	K00939	14	13
K02520	K02520	14	13
K02871	K02871	14	13
K03572	K03572	14	13
K01885	K01885	15	4
K02945	K02945	15	4
K06207	K06207	15	4
K00948	K00948	15	4
K01420	K01420	16	2
K00996	K00996	16	2
K02787	K02787	17	2
K01220	K01220	17	2
K02761	K02761	18	2
K01223	K01223	18	2
K03481	K03481	19	3
K01232	K01232	19	3
K02777	K02777	19	3
K02068	K02068	20	2
K01246	K01246	20	2
K03431	K03431	21	4
K05896	K05896	21	4
K05985	K05985	21	4
K01304	K01304	21	4
K14742	K14742	22	3
K01409	K01409	22	3
K04094	K04094	22	3
K06075	K06075	23	2
K01417	K01417	23	2
K02750	K02750	24	4
K10530	K10530	24	4
K14588	K14588	24	4
K01535	K01535	24	4
K01819	K01819	25	3
K02530	K02530	25	3
K01635	K01635	25	3
K02563	K02563	26	7
K03497	K03497	26	7
K03531	K03531	26	7
K04567	K04567	26	7
K06942	K06942	26	7
K01925	K01925	26	7
K02314	K02314	26	7
K03590	K03590	27	6
K06949	K06949	27	6
K07447	K07447	27	6
K11991	K11991	27	6
K01929	K01929	27	6
K03466	K03466	27	6
K02037	K02037	28	4
K02038	K02038	28	4
K02040	K02040	28	4
K02036	K02036	28	4
K02433	K02433	29	4
K02434	K02434	29	4
K03979	K03979	29	4
K02108	K02108	29	4
K02118	K02118	30	3
K02123	K02123	30	3
K02117	K02117	30	3
K02760	K02760	31	2
K02759	K02759	31	2
K02990	K02990	32	2
K02907	K02907	32	2
K02933	K02933	33	3
K03545	K03545	33	3
K02931	K02931	33	3
K09710	K09710	34	2
K03100	K03100	34	2
K03621	K03621	35	3
K03739	K03739	35	3
K03500	K03500	35	3
K03702	K03702	36	2
K03701	K03701	36	2
K06948	K06948	37	2
K03722	K03722	37	2
K07082	K07082	38	2
K03797	K03797	38	2
K05879	K05879	39	2
K05878	K05878	39	2
K07657	K07657	40	2
K07636	K07636	40	2
K07707	K07707	41	2
K07706	K07706	41	2
K16787	K16787	42	2
K16786	K16786	42	2
