gene	geneCountCategory
V1547417	HGC
V1013092	HGC
V1436641	HGC
V1074313	HGC
V1432496	HGC
V1852109	HGC
V1234818	HGC
V1322633	HGC
V1012818	HGC
V1197347	HGC
V1367011	HGC
V1013090	HGC
V1008596	HGC
V1357141	HGC
V1394807	HGC
V1075654	HGC
V1200739	HGC
V1144210	LGC
V1201618	HGC
V1042097	HGC
V1177462	HGC
V1247348	HGC
V1154539	HGC
V1513559	LGC
V1195882	HGC
V1385524	HGC
V1332459	HGC
V1010069	HGC
V1196266	HGC
V1110482	HGC
V1367500	HGC
V1420630	LGC
V1197084	HGC
V1386738	HGC
V1574099	LGC
V1358470	HGC
V1317731	HGC
V1012671	HGC
V1051831	HGC
V1464847	HGC
V1010067	HGC
V1007060	HGC
V1039094	HGC
V1141150	HGC
V1547956	HGC
V1099396	HGC
V1358498	HGC
V1265292	HGC
V1010370	HGC
V1594514	HGC
V1140670	HGC
V1581223	LGC
V1074835	HGC
V1070848	HGC
V1050687	HGC
V1421347	HGC
V1185257	HGC
V1168235	HGC
V1108928	HGC
V1146501	HGC
V1014074	HGC
V1073455	HGC
V1008929	HGC
V1368199	HGC
V1375517	HGC
V1011086	HGC
V1420620	LGC
V1541236	LGC
V1095854	HGC
V1481366	LGC
V1467466	HGC
V1011843	HGC
V1145959	HGC
V1155393	HGC
V1014358	HGC
V1481392	LGC
V1138974	HGC
V1099189	HGC
V1197020	HGC
V1010605	HGC
V1551811	HGC
V1469573	LGC
V1357096	HGC
V1052940	HGC
V1886409	LGC
V1175702	HGC
V1607555	HGC
V1074069	HGC
V1621228	HGC
V1067673	HGC
V1008595	HGC
V1189108	HGC
V1013969	HGC
V1295099	HGC
V1075411	HGC
V1201700	HGC
V1052941	HGC
V1200593	HGC
V1010034	HGC
V1295918	HGC
V1139691	HGC
V1620445	HGC
V1266125	HGC
V1238174	HGC
V1144133	LGC
V1012672	HGC
V1467310	HGC
V1585494	HGC
V1085663	HGC
V1201619	HGC
V1101641	LGC
V1297375	LGC
V1236403	LGC
V1099054	HGC
V1430573	HGC
V1047883	HGC
V1156712	HGC
V1139821	HGC
V1012379	HGC
V1015220	HGC
V1436794	HGC
V1879950	LGC
V1366884	HGC
V1297356	LGC
V1400258	HGC
V1393635	HGC
V1014517	HGC
V1467629	HGC
V1010320	HGC
V1353181	HGC
V1010072	HGC
V1143984	LGC
V1183841	HGC
V1033302	HGC
V1381099	HGC
V1195125	HGC
V1883290	LGC
V1376177	HGC
V1559746	HGC
V1567358	HGC
V1594875	HGC
V1156648	HGC
V1374773	HGC
V1360888	HGC
V1013091	HGC
V1192739	HGC
V1366998	HGC
V1011088	HGC
V1016230	HGC
V1380652	HGC
V1357316	HGC
V1059001	HGC
V1553663	HGC
V1009707	HGC
V1009698	HGC
V1033375	LGC
V1196289	HGC
V1588398	HGC
V1007084	HGC
V1879918	LGC
V1042531	HGC
V1382261	HGC
V1138258	HGC
V1485113	HGC
V1265557	HGC
V1504152	HGC
V1007059	HGC
V1500439	HGC
V1098933	HGC
V1519450	HGC
V1349964	HGC
V1886416	LGC
V1016891	HGC
V1140260	HGC
V1154707	HGC
V1251462	HGC
V1043560	HGC
V1014867	HGC
V1140341	HGC
V1585250	HGC
V1392272	HGC
V1007076	HGC
V1430967	HGC
V1014932	HGC
V1592800	LGC
V1038290	HGC
V1380987	HGC
V1235729	HGC
V1330982	HGC
V1413648	HGC
V1886538	LGC
V1098849	HGC
V1375437	HGC
V1501190	HGC
V1553877	HGC
V1006798	HGC
V1552772	LGC
V1886398	LGC
V1318890	HGC
V1067559	HGC
V1012423	HGC
V1157905	HGC
V1886629	LGC
V1266145	HGC
V1469327	LGC
V1067114	HGC
V1099403	HGC
V1583797	HGC
V1099385	HGC
V1044382	HGC
V1381169	HGC
V1440338	HGC
V1008438	HGC
V1011471	HGC
V1012424	HGC
V1194441	HGC
V1200606	HGC
V1011483	HGC
V1066640	HGC
V1485691	HGC
V1013968	HGC
V1138976	HGC
V1594918	HGC
V1013127	HGC
V1233560	HGC
V1519612	HGC
V1886558	LGC
V1139078	HGC
V1070026	HGC
V1141223	HGC
V1067672	HGC
V1012677	HGC
V1015867	HGC
V1402919	HGC
V1548529	HGC
V1144304	LGC
V1099394	HGC
V1235913	HGC
V1568540	HGC
V1524769	HGC
V1364433	HGC
V1153346	HGC
V1559864	HGC
V1016291	HGC
V1481436	LGC
V1107502	HGC
V1067558	HGC
V1012414	HGC
V1067144	HGC
V1181275	HGC
V1118976	HGC
V1155672	HGC
V1884213	HGC
V1198050	HGC
V1015150	HGC
V1406723	HGC
V1531057	HGC
V1043994	HGC
V1148079	HGC
V1265462	HGC
V1356918	HGC
V1483772	HGC
V1012356	HGC
V1313175	HGC
V1093074	HGC
V1079141	HGC
V1375358	HGC
V1557734	HGC
V1401722	HGC
V1375699	HGC
V1506464	HGC
V1012925	HGC
V1852142	HGC
V1367155	HGC
V1068823	HGC
V1139605	HGC
V1099124	HGC
V1532613	HGC
V1078022	HGC
V1140021	HGC
V1553636	HGC
V1557783	HGC
V1075033	HGC
V1042470	HGC
V1011651	HGC
V1011009	HGC
V1015859	HGC
V1066910	HGC
V1138803	HGC
V1465413	HGC
V1194965	HGC
V1012422	HGC
V1007090	HGC
V1012419	HGC
V1374529	HGC
V1006685	HGC
V1010065	HGC
V1879985	LGC
V1549500	HGC
V1586889	HGC
V1043350	HGC
V1066925	HGC
V1410313	HGC
V1018031	HGC
V1039311	HGC
V1886464	LGC
V1099609	HGC
V1413628	HGC
V1144908	HGC
V1389384	LGC
V1886399	LGC
V1559772	HGC
V1375650	HGC
V1442456	HGC
V1104514	HGC
V1014079	HGC
V1040547	HGC
V1411084	HGC
V1585936	HGC
V1200321	HGC
V1491685	HGC
V1109151	HGC
V1011016	HGC
V1363976	HGC
V1503004	HGC
V1098932	HGC
V1409952	HGC
V1200468	HGC
V1007054	HGC
V1012417	HGC
V1553939	HGC
V1068836	HGC
V1562682	HGC
V1881261	HGC
V1541222	LGC
V1085032	HGC
V1010603	HGC
V1562543	HGC
V1067099	HGC
V1238012	HGC
V1886605	LGC
V1099144	HGC
V1548048	HGC
V1101083	HGC
V1060343	HGC
V1081813	HGC
V1549656	HGC
V1389769	LGC
V1585624	HGC
V1357591	HGC
V1141925	HGC
V1525026	HGC
V1039764	HGC
V1013129	HGC
V1368307	HGC
V1071524	HGC
V1526386	HGC
V1065923	HGC
V1015219	HGC
V1559739	HGC
V1154540	HGC
V1191497	HGC
V1154407	HGC
V1066648	HGC
V1010716	HGC
V1166870	HGC
V1109371	HGC
V1552713	LGC
V1292575	HGC
V1589915	HGC
V1077152	HGC
V1574736	HGC
V1409362	HGC
V1073738	HGC
V1374743	HGC
V1013130	HGC
V1011783	HGC
V1016297	HGC
V1043195	HGC
V1886712	LGC
V1265662	HGC
V1013967	HGC
V1138842	HGC
V1380402	HGC
V1442877	HGC
V1012676	HGC
V1069215	HGC
V1886461	LGC
V1498834	HGC
V1012679	HGC
V1379164	HGC
V1017440	HGC
V1157323	HGC
V1340709	HGC
V1582926	HGC
V1494140	LGC
V1043301	HGC
V1440477	HGC
V1013751	HGC
V1067311	HGC
V1017114	HGC
V1017894	HGC
V1548295	HGC
V1010070	HGC
V1047876	HGC
V1294607	HGC
V1139410	HGC
V1379996	HGC
V1012420	HGC
V1254663	HGC
V1397777	HGC
V1012505	HGC
V1099491	HGC
V1499048	HGC
V1013741	HGC
V1602762	HGC
V1506181	HGC
V1172123	HGC
V1523254	HGC
V1883569	HGC
V1159530	HGC
V1017771	HGC
V1330066	HGC
V1356896	HGC
V1175888	HGC
V1402560	HGC
V1139904	HGC
V1237635	HGC
V1072266	HGC
V1017115	HGC
V1011095	HGC
V1014378	HGC
V1820402	HGC
V1358509	HGC
V1018464	HGC
V1080812	HGC
V1011840	HGC
V1038507	HGC
V1014359	HGC
V1328545	HGC
V1139807	HGC
V1139649	HGC
V1102938	HGC
V1017148	HGC
V1052248	HGC
V1340164	HGC
V1043880	HGC
V1037377	HGC
V1420994	HGC
V1010064	HGC
V1068297	HGC
V1580955	LGC
V1510764	HGC
V1561440	HGC
V1166828	HGC
V1442547	HGC
V1011337	HGC
V1010068	HGC
V1014360	HGC
V1011014	HGC
V1043514	HGC
V1154952	HGC
V1155973	HGC
V1012343	HGC
V1099344	HGC
V1529059	HGC
V1166804	HGC
V1518214	HGC
V1158598	HGC
V1139934	HGC
V1886400	LGC
V1272241	HGC
V1420671	HGC
V1411416	HGC
V1430517	HGC
V1553529	LGC
V1203777	HGC
V1091760	HGC
V1364188	HGC
V1316499	HGC
V1380123	HGC
V1256496	LGC
V1753038	HGC
V1572527	HGC
V1014869	HGC
V1154408	HGC
V1310991	HGC
V1075585	HGC
V1008574	HGC
V1319614	HGC
V1066160	HGC
V1530689	HGC
V1084381	HGC
V1190680	HGC
V1139080	HGC
V1017113	HGC
V1008890	HGC
V1067937	HGC
V1099037	HGC
V1099420	HGC
V1584680	HGC
V1394159	HGC
V1007062	HGC
V1110458	HGC
V1889488	LGC
V1006749	HGC
V1485647	HGC
V1099467	HGC
V1617057	HGC
V1007211	HGC
V1152427	HGC
V1265700	HGC
V1573360	HGC
V1430882	HGC
V1099421	HGC
V1174639	HGC
V1067146	HGC
V1173647	HGC
V1583003	HGC
V1099084	HGC
V1433284	HGC
V1121567	HGC
V1331626	HGC
V1563205	HGC
V1012674	HGC
V1007070	HGC
V1579247	HGC
V1886489	LGC
V1007557	HGC
V1009873	HGC
V1081021	HGC
V1886517	LGC
V1879847	LGC
V1437017	HGC
V1065438	HGC
V1067088	HGC
V1527518	HGC
V1011094	HGC
V1098941	HGC
V1427838	HGC
V1046752	LGC
V1065535	HGC
V1006747	HGC
V1879848	LGC
V1011839	HGC
V1008495	HGC
V1559743	HGC
V1011714	HGC
V1088148	HGC
V1012820	HGC
V1328008	HGC
V1423312	LGC
V1339870	HGC
V1016060	HGC
V1380920	HGC
V1013128	HGC
V1098891	HGC
V1574627	HGC
V1883804	HGC
V1007073	HGC
V1265179	HGC
V1151091	HGC
V1373874	HGC
V1886965	LGC
V1107083	HGC
V1171494	HGC
V1009119	HGC
V1066917	HGC
V1464524	HGC
V1012031	HGC
V1092088	HGC
V1012330	HGC
V1577002	HGC
V1339706	HGC
V1381002	HGC
V1006779	HGC
V1240494	HGC
V1242574	HGC
V1017738	HGC
V1176971	HGC
V1577061	HGC
V1138616	HGC
V1012032	HGC
V1141613	HGC
V1178697	HGC
V1153964	HGC
V1011090	HGC
V1015866	HGC
V1080826	HGC
V1173390	HGC
V1139686	HGC
V1051795	HGC
V1377757	HGC
V1886508	LGC
V1553528	LGC
V1169695	HGC
V1012421	HGC
V1549066	HGC
V1357367	HGC
V1514891	HGC
V1564264	HGC
V1265582	HGC
V1377889	HGC
V1195145	HGC
V1374569	HGC
V1015868	HGC
V1196189	HGC
V1044145	HGC
V1048488	HGC
V1107900	HGC
V1067581	HGC
V1374878	HGC
V1375131	HGC
V1012506	HGC
V1049092	HGC
V1014673	HGC
V1042613	HGC
V1375605	HGC
V1465010	HGC
V1343296	HGC
V1849462	HGC
V1195651	HGC
V1102240	HGC
V1882884	LGC
V1240761	HGC
V1139756	HGC
V1295456	HGC
V1445303	LGC
V1008252	HGC
V1069719	HGC
V1296153	HGC
V1522829	HGC
V1191452	HGC
V1552830	LGC
V1099005	HGC
V1230887	HGC
V1196019	HGC
V1485407	HGC
V1067115	HGC
V1879897	LGC
V1483001	HGC
V1265982	HGC
V1399193	LGC
V1354657	HGC
V1595727	HGC
V1046203	HGC
V1469298	LGC
V1243234	HGC
V1042252	HGC
V1421438	HGC
V1468264	HGC
V1139081	HGC
V1147769	HGC
V1612749	HGC
V1268218	HGC
V1008255	HGC
V1013966	HGC
V1277310	HGC
V1886153	LGC
V1109058	HGC
V1547357	LGC
V1039802	HGC
V1014494	HGC
V1395568	HGC
V1079798	HGC
V1549916	HGC
V1083488	HGC
V1086903	HGC
V1430515	HGC
V1617550	HGC
V1006680	HGC
V1154955	HGC
V1047979	HGC
V1314267	HGC
V1530479	HGC
V1431657	HGC
V1084025	HGC
V1111701	HGC
V1513624	LGC
V1171816	HGC
V1295134	HGC
V1564708	HGC
V1151454	HGC
V1088585	HGC
V1380696	HGC
V1011331	HGC
V1013989	HGC
V1562389	HGC
V1375318	HGC
V1435582	HGC
V1017566	HGC
V1392216	HGC
V1012921	HGC
V1294696	HGC
V1011012	HGC
V1099490	HGC
V1012766	HGC
V1107081	HGC
V1381786	HGC
V1405820	HGC
V1482546	HGC
V1560688	HGC
V1752973	HGC
V1240562	HGC
V1073737	HGC
V1201514	HGC
V1012508	HGC
V1043302	HGC
V1011473	HGC
V1014991	HGC
V1368958	HGC
V1040060	HGC
V1107269	HGC
V1499465	HGC
V1464388	HGC
V1014868	HGC
V1042441	HGC
V1887017	LGC
V1139606	HGC
V1065536	HGC
V1152202	HGC
V1014483	HGC
V1241851	HGC
V1010263	HGC
V1109182	HGC
V1586266	HGC
V1066613	HGC
V1016828	HGC
V1011015	HGC
V1559309	HGC
V1066642	HGC
V1011093	HGC
V1104259	HGC
V1012030	HGC
V1069115	HGC
V1521364	HGC
V1099416	HGC
V1886580	LGC
V1528520	HGC
V1011096	HGC
V1355409	HGC
V1375820	HGC
V1342123	HGC
V1436771	HGC
V1098835	HGC
V1437633	HGC
V1039856	HGC
V1139685	HGC
V1099395	HGC
V1065433	HGC
V1017590	HGC
V1594632	HGC
V1409160	HGC
V1620683	HGC
V1065916	HGC
V1007057	HGC
V1139758	HGC
V1345089	HGC
V1014020	HGC
V1013250	HGC
V1110318	HGC
V1053762	HGC
V1011842	HGC
V1099191	HGC
V1039101	HGC
V1575343	HGC
V1011011	HGC
V1585622	HGC
V1071185	HGC
V1104827	HGC
V1099236	HGC
V1356740	HGC
V1369519	HGC
V1157324	HGC
V1099422	HGC
V1017117	HGC
V1017849	HGC
V1442466	HGC
V1886513	LGC
V1375370	HGC
V1368664	HGC
V1139757	HGC
V1037967	HGC
V1391823	HGC
V1398959	LGC
V1152905	HGC
V1367058	HGC
V1295007	HGC
V1041712	HGC
V1435342	HGC
V1099418	HGC
V1102145	HGC
V1016237	HGC
V1408929	HGC
V1229971	HGC
V1618071	HGC
V1412443	HGC
V1436910	HGC
V1728013	HGC
V1012334	HGC
V1096366	HGC
V1011837	HGC
V1875168	HGC
V1069350	HGC
V1503145	LGC
V1011929	HGC
V1240509	HGC
V1013123	HGC
V1561820	HGC
V1421959	HGC
V1011715	HGC
V1099126	HGC
V1099268	HGC
V1464214	HGC
V1155069	HGC
V1588933	HGC
V1609073	LGC
V1041711	HGC
V1110058	HGC
V1079173	HGC
V1107455	HGC
V1357672	HGC
V1010897	HGC
V1392006	HGC
V1006746	HGC
V1578025	HGC
V1108447	HGC
V1080453	HGC
V1099118	HGC
V1407012	HGC
V1013990	HGC
V1402022	HGC
V1155495	HGC
V1516269	HGC
V1048870	HGC
V1356036	HGC
V1528097	HGC
V1011748	HGC
V1589579	HGC
V1018135	HGC
V1519499	HGC
V1197906	HGC
V1442544	HGC
V1584917	HGC
V1047980	HGC
V1070042	HGC
V1111146	HGC
V1168609	HGC
V1174941	HGC
V1076810	HGC
V1372792	HGC
V1483949	HGC
V1174605	HGC
