gene	geneCountCategory
V1053544	HGC
V1016999	HGC
V1019516	HGC
V1615213	LGC
V1015255	HGC
V1547357	LGC
V1232339	HGC
V1074760	HGC
V1081714	HGC
V1051482	HGC
V1526309	HGC
V1295918	HGC
V1013667	HGC
V1017003	HGC
V1019199	HGC
V1049443	HGC
V1014780	HGC
V1017823	HGC
V1023795	HGC
V1018365	HGC
V1620794	HGC
V1155983	HGC
V1057118	HGC
V1016410	HGC
V1686897	HGC
V1018822	HGC
V1021333	HGC
V1019123	HGC
V1014694	HGC
V1326660	HGC
V1524534	HGC
V1016412	HGC
V1467466	HGC
V1015295	HGC
V1017000	HGC
V1016109	HGC
V1014693	HGC
V1019700	HGC
V1528396	HGC
V1049712	HGC
V1490779	HGC
V1227629	HGC
V1530689	HGC
V1012234	HGC
V1014696	HGC
V1012818	HGC
V1011118	HGC
V1827657	HGC
V1049966	HGC
V1015145	HGC
V1022782	HGC
V1054875	HGC
V1117002	HGC
V1049974	HGC
V1049975	HGC
V1513970	HGC
V1013552	HGC
V1367035	HGC
V1049613	HGC
V1014124	HGC
V1023255	HGC
V1015296	HGC
V1014774	HGC
V1013831	HGC
V1073738	HGC
V1526937	HGC
V1047645	HGC
V1522511	HGC
V1016897	HGC
V1880297	LGC
V1025085	HGC
V1049616	HGC
V1117987	HGC
V1018783	HGC
V1016572	HGC
V1049359	HGC
V1013839	HGC
V1047668	HGC
V1014173	HGC
V1013293	HGC
V1049959	HGC
V1016420	HGC
V1013019	HGC
V1018780	HGC
V1117003	HGC
V1050342	HGC
V1074069	HGC
V1052647	HGC
V1232012	HGC
V1054543	HGC
V1016695	HGC
V1126678	HGC
V1014968	HGC
V1014753	HGC
V1215409	LGC
V1016107	HGC
V1050349	HGC
V1020008	HGC
V1164816	LGC
V1012925	HGC
V1052646	HGC
V1246269	HGC
V1616578	LGC
V1049611	HGC
V1238174	HGC
V1013551	HGC
V1014882	HGC
V1232017	HGC
V1016594	HGC
V1050621	HGC
V1020489	HGC
V1049709	HGC
V1016627	HGC
V1023500	HGC
V1050293	HGC
V1050753	HGC
V1053584	HGC
V1052944	HGC
V1014239	HGC
V1525443	HGC
V1728013	HGC
V1014781	HGC
V1019951	HGC
V1043738	HGC
V1126001	HGC
V1013818	HGC
V1015426	HGC
V1251705	HGC
V1051739	HGC
V1016262	HGC
V1019776	HGC
V1617409	HGC
V1056640	HGC
V1164915	LGC
V1050603	HGC
V1017194	HGC
V1536743	HGC
V1283274	HGC
V1827541	HGC
V1016186	HGC
V1049608	HGC
V1014752	HGC
V1253434	HGC
V1016536	HGC
V1016022	HGC
V1051477	HGC
V1050424	HGC
V1016804	HGC
V1686795	HGC
V1019227	HGC
V1106402	HGC
V1553663	HGC
V1019950	HGC
V1325781	HGC
V1051744	HGC
V1018269	HGC
V1083487	HGC
V1247562	HGC
V1016139	HGC
V1017696	HGC
V1052945	HGC
V1177462	HGC
V1154045	HGC
V1523752	HGC
V1015464	HGC
V1016777	HGC
V1015417	HGC
V1017196	HGC
V1249839	HGC
V1020201	HGC
V1016208	HGC
V1047657	HGC
V1380793	HGC
V1017370	HGC
V1013692	HGC
V1050344	HGC
V1018193	HGC
V1215699	LGC
V1513972	HGC
V1017487	HGC
V1827610	HGC
V1018996	HGC
V1485691	HGC
V1018082	HGC
V1047643	HGC
V1230135	HGC
V1157849	HGC
V1686898	HGC
V1010370	HGC
V1153808	HGC
V1234527	HGC
V1487257	HGC
V1827540	HGC
V1827589	HGC
V1012715	HGC
V1016105	HGC
V1403478	HGC
V1017521	HGC
V1049363	HGC
V1054871	HGC
V1013336	HGC
V1022066	HGC
V1049615	HGC
V1017715	HGC
V1272649	HGC
V1014513	HGC
V1014969	HGC
V1050917	HGC
V1887444	LGC
V1017198	HGC
V1010320	HGC
V1016102	HGC
V1053063	HGC
V1362709	HGC
V1014601	HGC
V1566080	HGC
V1054872	HGC
V1602033	HGC
V1054873	HGC
V1019228	HGC
V1620396	HGC
V1050912	HGC
V1049508	HGC
V1486142	HGC
V1014598	HGC
V1842074	HGC
V1014526	HGC
V1016523	HGC
V1014970	HGC
V1053682	HGC
V1606871	LGC
V1015318	HGC
V1049965	HGC
V1079722	HGC
V1679534	HGC
V1012231	HGC
V1525818	HGC
V1014631	HGC
V1013017	HGC
V1056297	HGC
V1054320	HGC
V1049715	HGC
V1015425	HGC
V1049365	HGC
V1275414	HGC
V1052145	HGC
V1014094	HGC
V1016103	HGC
V1017387	HGC
V1043739	HGC
V1044644	HGC
V1011115	HGC
V1019596	HGC
V1104670	HGC
V1008495	HGC
V1014177	HGC
V1154040	HGC
V1882359	LGC
V1020806	HGC
V1014971	HGC
V1020588	HGC
V1337358	LGC
V1522832	HGC
V1017522	HGC
V1020572	HGC
V1015844	HGC
V1053234	HGC
V1700859	HGC
V1015379	HGC
V1189108	HGC
V1073455	HGC
V1049440	HGC
V1392996	HGC
V1473374	HGC
V1019182	HGC
V1376893	HGC
V1013426	HGC
V1014932	HGC
V1886585	LGC
V1018168	HGC
V1016776	HGC
V1374236	HGC
V1104902	HGC
V1266145	HGC
V1486296	HGC
V1486766	HGC
V1051080	HGC
V1827609	HGC
V1016140	HGC
V1104523	HGC
V1117343	HGC
V1014510	HGC
V1053062	HGC
V1053921	HGC
V1011116	HGC
V1621732	HGC
V1049603	HGC
V1051742	HGC
V1054469	HGC
V1019134	HGC
V1019181	HGC
V1827472	HGC
V1015144	HGC
V1021222	HGC
V1023215	HGC
V1513971	HGC
V1051481	HGC
V1139649	HGC
V1232128	HGC
V1827527	HGC
V1311269	HGC
V1534072	HGC
V1054992	HGC
V1051585	HGC
V1014331	HGC
V1015511	HGC
V1017702	HGC
V1049713	HGC
V1054874	HGC
V1273361	HGC
V1053428	HGC
V1050622	HGC
V1140098	HGC
V1053235	HGC
V1016194	HGC
V1018132	HGC
V1038344	HGC
V1055403	HGC
V1050751	HGC
V1013335	HGC
V1014972	HGC
V1127004	HGC
V1503532	HGC
V1012710	HGC
V1324122	HGC
V1049448	HGC
V1500439	HGC
V1827664	HGC
V1016051	HGC
V1492831	HGC
V1010947	HGC
V1016193	HGC
V1017626	HGC
V1018489	HGC
V1049720	HGC
V1054880	HGC
V1074313	HGC
V1016524	HGC
V1019864	HGC
V1050289	HGC
V1122636	HGC
V1364636	HGC
V1541283	LGC
V1827622	HGC
V1016243	HGC
V1047623	HGC
V1052452	HGC
V1357847	HGC
V1016069	HGC
V1017500	HGC
V1606804	LGC
V1015378	HGC
V1115662	HGC
V1233263	HGC
V1827474	HGC
V1827478	HGC
V1827604	HGC
V1254159	HGC
V1255142	HGC
V1020665	HGC
V1606954	LGC
V1827464	HGC
V1015148	HGC
V1017639	HGC
V1219140	HGC
V1618513	HGC
V1017261	HGC
V1054270	HGC
V1686894	HGC
V1017520	HGC
V1020714	HGC
V1501870	HGC
V1049971	HGC
V1138246	HGC
V1292575	HGC
V1616650	LGC
V1012479	HGC
V1018107	HGC
V1023456	HGC
V1485609	HGC
V1020130	HGC
V1436166	HGC
V1016023	HGC
V1016131	HGC
V1014916	HGC
V1050752	HGC
V1276627	HGC
V1285094	HGC
V1013337	HGC
V1014920	HGC
V1018145	HGC
V1021572	HGC
V1686942	HGC
V1020590	HGC
V1526474	HGC
V1013494	HGC
V1082145	HGC
V1109087	HGC
V1485810	HGC
V1015316	HGC
V1017355	HGC
V1884213	HGC
V1015637	HGC
V1015723	HGC
V1115726	HGC
V1123129	HGC
V1684388	HGC
V1015904	HGC
V1016543	HGC
V1017612	HGC
V1055270	HGC
V1015682	HGC
V1019664	HGC
V1049452	HGC
V1081021	HGC
V1177532	HGC
V1315090	HGC
V1014098	HGC
V1016473	HGC
V1584818	HGC
V1827525	HGC
V1015466	HGC
V1015832	HGC
V1116474	HGC
V1164656	LGC
V1278044	HGC
V1827542	HGC
V1882239	LGC
V1559309	HGC
V1687022	HGC
V1014896	HGC
V1015254	HGC
V1020288	HGC
V1047662	HGC
V1053064	HGC
V1295229	HGC
V1522725	HGC
V1827566	HGC
V1017597	HGC
V1054269	HGC
V1169317	HGC
V1606798	LGC
V1012226	HGC
V1104203	HGC
V1841687	HGC
V1201618	HGC
V1591227	LGC
V1686903	HGC
V1017386	HGC
V1093074	HGC
V1250111	HGC
V1277269	HGC
V1317169	HGC
V1318923	HGC
V1052970	HGC
V1367011	HGC
V1422053	HGC
V1499435	HGC
V1581212	LGC
V1020671	HGC
V1053681	HGC
V1436641	HGC
V1015463	HGC
V1072266	HGC
V1200739	HGC
V1216093	HGC
V1392272	HGC
V1469467	LGC
V1827543	HGC
V1852142	HGC
V1104825	HGC
V1515163	HGC
V1827553	HGC
V1014967	HGC
V1066642	HGC
V1083757	HGC
V1120112	HGC
V1380830	HGC
V1016660	HGC
V1051584	HGC
V1088192	HGC
V1374277	HGC
V1620313	HGC
V1827579	HGC
V1016658	HGC
V1021154	HGC
V1082749	HGC
V1165705	LGC
V1012707	HGC
V1049362	HGC
V1104667	HGC
V1154529	HGC
V1392259	HGC
V1529592	HGC
V1016019	HGC
V1017729	HGC
V1051323	HGC
V1055738	HGC
V1164989	LGC
V1016717	HGC
V1050620	HGC
V1054881	HGC
V1012714	HGC
V1019133	HGC
V1047661	HGC
V1050420	HGC
V1075585	HGC
V1079798	HGC
V1154047	HGC
V1563801	HGC
V1597057	HGC
V1015317	HGC
V1015940	HGC
V1016049	HGC
V1017436	HGC
V1018270	HGC
V1122230	HGC
V1337176	LGC
V1012324	HGC
V1049619	HGC
V1521976	HGC
V1531812	HGC
V1827586	HGC
V1017802	HGC
V1050425	HGC
V1118891	HGC
V1119900	HGC
V1430573	HGC
V1485960	HGC
V1486920	HGC
V1882343	LGC
V1010716	HGC
V1020033	HGC
V1023042	HGC
V1043994	HGC
V1049623	HGC
V1051326	HGC
V1053239	HGC
V1272923	HGC
V1574099	LGC
V1686947	HGC
V1883534	HGC
V1014522	HGC
V1015906	HGC
V1017369	HGC
V1018500	HGC
V1019475	HGC
V1038507	HGC
V1075074	HGC
V1079799	HGC
V1145219	HGC
V1463899	HGC
V1013832	HGC
V1016321	HGC
V1019959	HGC
V1144133	LGC
V1467406	HGC
V1523293	HGC
V1616379	LGC
V1012716	HGC
V1015752	HGC
V1016050	HGC
V1085680	HGC
V1276857	HGC
V1281632	HGC
V1287234	HGC
V1015467	HGC
V1049976	HGC
V1254428	HGC
V1594387	HGC
V1012326	HGC
V1015210	HGC
V1050422	HGC
V1827571	HGC
V1017829	HGC
V1019414	HGC
V1055789	HGC
V1138297	HGC
V1346947	HGC
V1014113	HGC
V1014858	HGC
V1016844	HGC
V1051441	HGC
V1052881	HGC
V1195882	HGC
V1247015	HGC
V1440341	HGC
V1619477	HGC
V1700980	HGC
V1841493	HGC
V1015725	HGC
V1019097	HGC
V1019991	HGC
V1047658	HGC
V1049450	HGC
V1496272	HGC
V1620582	HGC
V1621789	HGC
V1013549	HGC
V1014009	HGC
V1017099	HGC
V1018787	HGC
V1025338	HGC
V1123247	HGC
V1285269	HGC
V1536917	HGC
V1827598	HGC
V1014517	HGC
V1015252	HGC
V1019266	HGC
V1080459	HGC
V1225563	HGC
V1231960	HGC
V1285100	HGC
V1367034	HGC
V1686959	HGC
V1827627	HGC
V1014509	HGC
V1017100	HGC
V1018819	HGC
V1020111	HGC
V1047659	HGC
V1012236	HGC
V1014919	HGC
V1015000	HGC
V1015902	HGC
V1017101	HGC
V1049711	HGC
V1164841	LGC
V1168983	HGC
V1499497	HGC
V1523156	HGC
V1524296	HGC
V1015782	HGC
V1019792	HGC
V1021911	HGC
V1055271	HGC
V1117270	HGC
V1591099	LGC
V1606657	LGC
V1618378	HGC
V1016646	HGC
V1016862	HGC
V1054319	HGC
V1114357	HGC
V1159425	HGC
V1373874	HGC
V1621458	HGC
V1009897	HGC
V1016245	HGC
V1016644	HGC
V1017456	HGC
V1057863	HGC
V1067709	HGC
V1073739	HGC
V1514166	HGC
V1827592	HGC
V1877678	HGC
V1017470	HGC
V1018189	HGC
V1019992	HGC
V1024596	HGC
V1053237	HGC
V1055737	HGC
V1249062	HGC
V1618418	HGC
V1014074	HGC
V1015153	HGC
V1016896	HGC
V1055539	HGC
V1075033	HGC
V1160631	HGC
V1269305	HGC
V1686810	LGC
V1006962	HGC
V1009698	HGC
V1014132	HGC
V1014512	HGC
V1015828	HGC
V1016542	HGC
V1019009	HGC
V1047669	HGC
V1049717	HGC
V1065923	HGC
V1265557	HGC
V1333142	HGC
V1394860	HGC
V1424924	HGC
V1686866	HGC
V1686986	HGC
V1012708	HGC
V1017596	HGC
V1017822	HGC
V1018497	HGC
V1018823	HGC
V1019637	HGC
V1044382	HGC
V1138803	HGC
V1175702	HGC
V1374529	HGC
V1421169	HGC
V1468747	HGC
V1552772	LGC
V1616564	LGC
V1017592	HGC
V1050618	HGC
V1051440	HGC
V1103968	HGC
V1116735	HGC
V1274483	HGC
V1323914	HGC
V1523753	HGC
V1922979	HGC
V1016525	HGC
V1019008	HGC
V1047660	HGC
V1055001	HGC
V1083207	HGC
V1273671	HGC
V1487088	HGC
V1620605	HGC
V1686941	HGC
V1016247	HGC
V1016260	HGC
V1081970	HGC
V1123607	HGC
V1274225	HGC
V1375820	HGC
V1443330	HGC
V1486649	HGC
V1607471	LGC
V1686902	HGC
V1012378	HGC
V1019551	HGC
V1055423	HGC
V1166870	HGC
V1232980	HGC
V1357062	HGC
V1405324	HGC
V1536595	HGC
V1616702	HGC
V1686929	HGC
V1009869	HGC
V1014174	HGC
V1015510	HGC
V1015829	HGC
V1017638	HGC
V1118764	HGC
V1124261	HGC
V1176710	HGC
V1282557	HGC
V1287056	HGC
V1421856	HGC
V1459185	HGC
V1486381	HGC
V1597971	HGC
V1686991	HGC
V1799411	HGC
V1009707	HGC
V1012321	HGC
V1012322	HGC
V1012706	HGC
V1014015	HGC
V1014599	HGC
V1021155	HGC
V1025741	HGC
V1050623	HGC
V1050915	HGC
V1050916	HGC
V1055269	HGC
V1057461	HGC
V1079141	HGC
V1215976	LGC
V1356122	HGC
V1547407	HGC
V1618937	HGC
V1013092	HGC
V1015854	HGC
V1042020	HGC
V1047629	HGC
V1052968	HGC
V1067558	HGC
V1079232	HGC
V1081288	HGC
V1084381	HGC
V1104669	HGC
V1125704	HGC
V1233861	HGC
V1270621	HGC
V1339799	HGC
V1386949	HGC
V1392035	HGC
V1506823	HGC
V1541236	LGC
V1607121	LGC
V1686824	HGC
V1827606	HGC
V1013273	HGC
V1016715	HGC
V1017333	HGC
V1105200	HGC
V1143162	HGC
V1144210	LGC
V1152475	HGC
V1159766	HGC
V1161259	HGC
V1294697	HGC
V1469177	HGC
V1524748	HGC
V1618819	HGC
V1686883	HGC
V1827500	HGC
V1014050	HGC
V1019417	HGC
V1051582	HGC
V1241022	HGC
V1392216	HGC
V1532722	HGC
V1616607	LGC
V1806971	HGC
V1014175	HGC
V1014827	HGC
V1050350	HGC
V1073415	HGC
V1081399	HGC
V1118258	HGC
V1118893	HGC
V1138985	HGC
V1153437	HGC
V1154301	HGC
V1234818	HGC
V1244585	HGC
V1268242	HGC
V1440877	HGC
V1527049	HGC
V1849569	HGC
V1008438	HGC
V1010605	HGC
V1014630	HGC
V1015223	HGC
V1015648	HGC
V1016628	HGC
V1017593	HGC
V1033302	HGC
V1036687	HGC
V1042441	HGC
V1065484	HGC
V1080453	HGC
V1080724	HGC
V1099858	HGC
V1119484	HGC
V1165240	LGC
V1216231	HGC
V1266218	HGC
V1366884	HGC
V1012717	HGC
V1014597	HGC
V1050606	HGC
V1051327	HGC
V1051384	HGC
V1052967	HGC
V1085282	HGC
V1115725	HGC
V1152476	HGC
V1231106	HGC
V1297356	LGC
V1338713	LGC
V1387009	HGC
V1471272	HGC
V1576661	HGC
V1616604	LGC
V1686993	HGC
V1852109	HGC
V1016626	HGC
V1020350	HGC
V1050616	HGC
V1079801	HGC
V1104824	HGC
V1124222	HGC
V1141590	HGC
V1165201	LGC
V1181616	HGC
V1254966	HGC
V1289047	HGC
V1327078	HGC
V1437895	HGC
V1523042	HGC
V1680006	HGC
V1886409	LGC
V1012709	HGC
V1013865	HGC
V1018298	HGC
V1051605	HGC
V1052124	HGC
V1075213	HGC
V1161059	HGC
V1177997	HGC
V1187377	HGC
V1233737	HGC
V1254823	HGC
V1266125	HGC
V1313717	HGC
V1342924	HGC
V1364363	HGC
V1381220	HGC
V1381417	HGC
V1392004	HGC
V1440338	HGC
V1485237	HGC
V1827594	HGC
V1015861	HGC
V1017714	HGC
V1056688	HGC
V1076810	HGC
V1099084	HGC
V1104416	HGC
V1121510	HGC
V1215420	LGC
V1277032	HGC
V1283761	HGC
V1285279	HGC
V1364166	HGC
V1466175	HGC
V1485741	HGC
V1486468	HGC
V1547956	HGC
V1553636	HGC
V1844789	HGC
V1886719	LGC
V1013014	HGC
V1013797	HGC
V1015001	HGC
V1016706	HGC
V1016710	HGC
V1017440	HGC
V1038350	HGC
V1052143	HGC
V1056133	HGC
V1057678	HGC
V1079172	HGC
V1120999	HGC
V1138249	HGC
V1167651	HGC
V1239886	HGC
V1286681	HGC
V1382071	HGC
V1467544	HGC
V1519799	HGC
V1523350	HGC
V1524782	HGC
V1544713	HGC
V1546558	HGC
V1827462	HGC
V1012379	HGC
V1013871	HGC
V1013873	HGC
V1014918	HGC
V1015509	HGC
V1016645	HGC
V1020523	HGC
V1053236	HGC
V1065535	HGC
V1083585	HGC
V1105856	HGC
V1106403	HGC
V1152674	HGC
V1154088	HGC
V1270818	HGC
V1275935	HGC
V1349553	HGC
V1360576	HGC
V1399193	LGC
V1468318	HGC
V1468783	HGC
V1481366	LGC
V1499048	HGC
V1499278	HGC
V1499465	HGC
V1620173	HGC
V1827522	HGC
V1827538	HGC
V1886560	LGC
V1015055	HGC
V1020351	HGC
V1037793	HGC
V1075411	HGC
V1080856	HGC
V1106558	HGC
V1121234	HGC
V1122126	HGC
V1152877	HGC
V1164954	LGC
V1295465	HGC
V1317705	HGC
V1329822	HGC
V1368901	HGC
V1442477	HGC
V1474852	HGC
V1482487	HGC
V1488037	HGC
V1597060	HGC
V1607130	LGC
V1607250	LGC
V1827615	HGC
V1002140	HGC
V1012718	HGC
V1013811	HGC
V1015222	HGC
V1015613	HGC
V1017455	HGC
V1047652	HGC
V1051447	HGC
V1052453	HGC
V1055462	HGC
V1073993	HGC
V1077152	HGC
V1080722	HGC
V1104412	HGC
V1123988	HGC
V1192548	HGC
V1248532	HGC
V1284777	HGC
V1374266	HGC
V1374892	HGC
V1380448	HGC
V1442464	HGC
V1499995	HGC
V1516739	HGC
V1604823	HGC
V1645131	HGC
V1886605	LGC
V1014600	HGC
V1014658	HGC
V1014999	HGC
V1047650	HGC
V1050816	HGC
V1053762	HGC
V1056007	HGC
V1056105	HGC
V1073798	HGC
V1080489	HGC
V1104668	HGC
V1108111	HGC
V1240249	HGC
V1275179	HGC
V1354168	HGC
V1421438	HGC
V1443273	HGC
V1576209	HGC
V1581223	LGC
V1607035	LGC
V1686808	HGC
V1924286	HGC
V1008596	HGC
V1013925	HGC
V1014326	HGC
V1015143	HGC
V1015855	HGC
V1015866	HGC
V1018395	HGC
V1018850	HGC
V1019525	HGC
V1020418	HGC
V1056703	HGC
V1080718	HGC
V1085663	HGC
V1146100	HGC
V1152427	HGC
V1200593	HGC
V1275981	HGC
V1276387	HGC
V1291125	HGC
V1303703	HGC
V1326026	HGC
V1328449	HGC
V1443722	HGC
V1487087	HGC
V1549500	HGC
V1553594	HGC
V1553877	HGC
V1566427	HGC
V1594051	HGC
V1701179	HGC
V1841419	HGC
V1841673	HGC
V1886416	LGC
V1887142	LGC
V1014349	HGC
V1016248	HGC
V1017713	HGC
V1017841	HGC
V1020450	HGC
V1041428	HGC
V1051580	HGC
V1080826	HGC
V1081694	HGC
V1101641	LGC
V1117342	HGC
V1125624	HGC
V1139144	HGC
V1142767	HGC
V1143984	LGC
V1153420	HGC
V1265692	HGC
V1269891	HGC
V1375437	HGC
V1464327	HGC
V1486236	HGC
V1520692	HGC
V1542149	HGC
V1558287	HGC
V1619544	HGC
V1621591	HGC
V1820366	HGC
V1883054	LGC
V1014123	HGC
V1014975	HGC
V1017523	HGC
V1018997	HGC
V1019473	HGC
V1050423	HGC
V1052454	HGC
V1055592	HGC
V1056852	HGC
V1061755	HGC
V1073737	HGC
V1116828	HGC
V1145139	HGC
V1164840	LGC
V1188463	HGC
V1216966	HGC
V1230915	HGC
V1252981	HGC
V1280793	HGC
V1326911	HGC
V1348219	HGC
V1353412	HGC
V1401024	HGC
V1422949	HGC
V1469327	LGC
V1487724	HGC
