gene	geneCountCategory
V1882239	LGC
V1884825	LGC
V1389855	LGC
V1799411	HGC
V1032822	LGC
V1552800	LGC
V1033302	HGC
V1883121	LGC
V1882329	LGC
V1552772	LGC
V1884560	LGC
V1882359	LGC
V1882317	LGC
V1884638	LGC
V1882237	LGC
V1891261	LGC
V1033375	LGC
V1884566	LGC
V1882372	LGC
V1033614	LGC
V1808000	LGC
V1884575	LGC
V1034179	LGC
V1202532	HGC
V1884563	LGC
V1886313	LGC
V1887199	LGC
V1884310	LGC
V1882220	LGC
V1047301	LGC
V1883366	LGC
V1880007	LGC
V1882343	LGC
V1883385	LGC
V1886198	LGC
V1423402	HGC
V1882325	LGC
V1883312	LGC
V1882315	LGC
V1883305	LGC
V1891193	LGC
V1883370	LGC
V1886314	LGC
V1001513	LGC
V1150763	LGC
V1884561	LGC
V1882314	LGC
V1891344	LGC
V1882253	LGC
V1884621	LGC
V1389104	LGC
V1890844	LGC
V1882316	LGC
V1883164	LGC
V1882328	LGC
V1684134	LGC
V1887262	LGC
V1755541	LGC
V1891308	LGC
V1883128	LGC
V1884529	LGC
V1884494	LGC
V1887154	LGC
V1202852	HGC
V1424934	HGC
V1424786	HGC
V1886358	LGC
V1880135	LGC
V1882174	LGC
V1547375	LGC
V1886332	LGC
V1886315	LGC
V1883153	LGC
V1883213	LGC
V1424924	HGC
V1882064	LGC
V1552798	LGC
V1886316	LGC
V1828860	LGC
V1237371	HGC
V1883115	LGC
V1047411	LGC
V1884526	LGC
V1162954	LGC
V1162941	LGC
V1891156	LGC
V1891298	LGC
V1884865	LGC
V1882181	LGC
V1884634	LGC
V1886348	LGC
V1608732	LGC
V1884636	LGC
V1423850	HGC
V1547357	LGC
V1887156	LGC
V1225501	HGC
V1366239	LGC
V1882361	LGC
V1884616	LGC
V1163634	LGC
V1423860	HGC
V1891192	LGC
V1883116	LGC
V1884522	LGC
V1884597	LGC
V1883158	LGC
V1891247	LGC
V1237153	HGC
V1884601	LGC
V1891162	LGC
V1886289	LGC
V1388945	LGC
V1882300	LGC
V1886180	LGC
V1882850	LGC
V1425736	HGC
V1880092	LGC
V1047077	LGC
V1819409	LGC
V1047214	LGC
V1338859	LGC
V1886235	LGC
V1872749	LGC
V1891160	LGC
V1150389	LGC
V1388969	LGC
V1886203	LGC
V1891253	LGC
V1882933	LGC
V1460309	HGC
V1883050	LGC
V1891105	LGC
V1883149	LGC
V1883241	LGC
V1852142	HGC
V1202803	HGC
V1884565	LGC
V1143257	LGC
V1300816	LGC
V1164185	LGC
V1886960	LGC
V1891250	LGC
V1424058	HGC
V1884268	LGC
V1389179	LGC
V1886195	LGC
V1880900	LGC
V1886021	LGC
V1882955	LGC
V1882886	LGC
V1424930	HGC
V1883203	LGC
V1552804	LGC
V1885047	LGC
V1494227	LGC
V1884881	LGC
V1891128	LGC
V1886224	LGC
V1424071	HGC
V1424932	HGC
V1884579	LGC
V1033627	LGC
V1552815	LGC
V1884294	LGC
V1143195	LGC
V1882381	LGC
V1808174	LGC
V1034382	LGC
V1885117	LGC
V1880022	LGC
V1886319	LGC
V1541236	LGC
V1886211	LGC
V1887282	LGC
V1880096	LGC
V1883165	LGC
V1163115	LGC
V1886310	LGC
V1693871	LGC
V1425419	HGC
V1883355	LGC
V1882378	LGC
V1886055	LGC
V1884648	LGC
V1034269	LGC
V1163779	LGC
V1163274	LGC
V1884577	LGC
V1884806	LGC
V1149497	LGC
V1890869	LGC
V1884803	LGC
V1298183	LGC
V1163706	LGC
V1163750	LGC
V1424285	HGC
V1338894	LGC
V1880912	LGC
V1884824	LGC
V1884624	LGC
V1828789	LGC
V1884290	LGC
V1886090	LGC
V1389178	LGC
V1884587	LGC
V1887330	LGC
V1890877	LGC
V1033775	LGC
V1221890	HGC
V1388966	LGC
V1807929	LGC
V1149291	LGC
V1034228	LGC
V1203284	HGC
V1884308	LGC
V1163740	LGC
V1884675	LGC
V1886210	LGC
V1891235	LGC
V1884882	LGC
V1552713	LGC
V1202615	HGC
V1891181	LGC
V1884518	LGC
V1497210	HGC
V1143512	LGC
V1886305	LGC
V1886288	LGC
V1886139	LGC
V1887157	LGC
V1882956	LGC
V1213496	HGC
V1598199	HGC
V1302571	LGC
V1882065	LGC
V1884240	LGC
V1882954	LGC
V1886230	LGC
V1891122	LGC
V1424925	HGC
V1882171	LGC
V1204418	LGC
V1880094	LGC
V1886254	LGC
V1163776	LGC
V1162999	LGC
V1884610	LGC
V1883311	LGC
V1163261	LGC
V1883168	LGC
V1883193	LGC
V1886019	LGC
V1195882	HGC
V1204467	LGC
V1883100	LGC
V1883329	LGC
V1034114	LGC
V1302970	LGC
V1034307	LGC
V1162940	LGC
V1882898	LGC
V1886959	LGC
V1446961	LGC
V1886373	LGC
V1884603	LGC
V1883299	LGC
V1884534	LGC
V1755515	LGC
V1424859	HGC
V1882859	LGC
V1610073	LGC
V1886282	LGC
V1163037	LGC
V1424921	HGC
V1547381	LGC
V1880059	LGC
V1884583	LGC
V1886172	LGC
V1884871	LGC
V1879977	LGC
V1883392	LGC
V1884383	LGC
V1884245	LGC
V1886124	LGC
V1163027	LGC
V1144210	LGC
V1879922	LGC
V1164312	LGC
V1615108	LGC
V1764732	LGC
V1882333	LGC
V1164458	LGC
V1880904	LGC
V1163920	LGC
V1162981	LGC
V1200536	HGC
V1891154	LGC
V1879976	LGC
V1684176	LGC
V1808054	LGC
V1425603	HGC
V1884593	LGC
V1891246	LGC
V1884654	LGC
V1398941	LGC
V1884284	LGC
V1882911	LGC
V1338885	LGC
V1891140	LGC
V1884626	LGC
V1884510	LGC
V1880845	LGC
V1884517	LGC
V1012818	HGC
V1447160	LGC
V1883295	LGC
V1885134	LGC
V1883323	LGC
V1424929	HGC
V1882167	LGC
V1388943	LGC
V1890904	LGC
V1886120	LGC
V1164008	LGC
V1890911	LGC
V1883246	LGC
V1808213	LGC
V1884615	LGC
V1884241	LGC
V1423892	HGC
V1808244	LGC
V1891198	LGC
V1886277	LGC
V1424689	HGC
V1882897	LGC
V1424922	HGC
V1884578	LGC
V1033534	LGC
V1884868	LGC
V1199404	LGC
V1424384	HGC
V1891248	LGC
V1886098	LGC
V1891163	LGC
V1891164	LGC
V1884582	LGC
V1163177	LGC
V1047138	LGC
V1101500	LGC
V1202750	HGC
V1884504	LGC
V1891251	LGC
V1884500	LGC
V1885060	LGC
V1213457	HGC
V1571503	HGC
V1886168	LGC
V1882208	LGC
V1598257	LGC
V1884398	LGC
V1884880	LGC
V1519450	HGC
V1884595	LGC
V1884600	LGC
V1886048	LGC
V1883293	LGC
V1300693	LGC
V1886285	LGC
V1199360	LGC
V1886264	LGC
V1883381	LGC
V1884782	LGC
V1552829	LGC
V1882241	LGC
V1423938	HGC
V1887308	LGC
V1886232	LGC
V1891249	LGC
V1033714	LGC
V1213000	HGC
V1886249	LGC
V1162911	LGC
V1808018	LGC
V1491685	HGC
V1886005	LGC
V1886464	LGC
V1884267	LGC
V1886113	LGC
V1882934	LGC
V1887117	LGC
V1884519	LGC
V1884627	LGC
V1884623	LGC
V1890888	LGC
V1164155	LGC
V1203770	HGC
V1890905	LGC
V1886015	LGC
V1882929	LGC
V1884478	LGC
V1883393	LGC
V1886141	LGC
V1203078	HGC
V1891255	LGC
V1163044	LGC
V1202123	HGC
V1884620	LGC
V1886250	LGC
V1808267	LGC
V1886063	LGC
V1891243	LGC
V1204504	LGC
V1424926	HGC
V1047280	LGC
V1164011	LGC
V1883304	LGC
V1828806	LGC
V1885122	LGC
V1389024	LGC
V1212545	HGC
V1886416	LGC
V1163202	LGC
V1338904	LGC
V1608827	LGC
V1886197	LGC
V1880862	LGC
V1424287	HGC
V1424239	HGC
V1614308	HGC
V1684149	LGC
V1884291	LGC
V1581223	LGC
V1886242	LGC
V1883296	LGC
V1886191	LGC
V1148960	LGC
V1075411	HGC
V1150388	LGC
V1213966	HGC
V1884581	LGC
V1297356	LGC
V1886409	LGC
V1162994	LGC
V1884651	LGC
V1684163	LGC
V1880211	LGC
V1883188	LGC
V1882928	LGC
V1891110	LGC
V1884783	LGC
V1891142	LGC
V1884480	LGC
V1101530	LGC
V1223639	HGC
V1580855	LGC
V1886361	LGC
V1608711	LGC
V1074069	HGC
V1884807	LGC
V1202855	HGC
V1552792	LGC
V1884572	LGC
V1163179	LGC
V1884493	LGC
V1882334	LGC
V1884889	LGC
V1203299	LGC
V1481366	LGC
V1012925	HGC
V1891158	LGC
V1095854	HGC
V1883389	LGC
V1884309	LGC
V1884535	LGC
V1884625	LGC
V1891196	LGC
V1424106	HGC
V1884516	LGC
V1884607	LGC
V1425480	HGC
V1388944	LGC
V1883306	LGC
V1163938	LGC
V1882215	LGC
V1886972	LGC
V1143984	LGC
V1883102	LGC
V1886209	LGC
V1034245	HGC
V1598604	LGC
V1886229	LGC
V1101641	LGC
V1886103	LGC
V1886353	LGC
V1388961	LGC
V1163452	LGC
V1884719	LGC
V1852109	HGC
V1884604	LGC
V1884692	LGC
V1884602	LGC
V1163200	LGC
V1883167	LGC
V1383695	HGC
V1202802	HGC
V1481392	LGC
V1880127	LGC
V1043994	HGC
V1155989	HGC
V1455144	HGC
V1884681	LGC
V1163730	LGC
V1807920	LGC
V1884586	LGC
V1884513	LGC
V1886965	LGC
V1144133	LGC
V1163641	LGC
V1891224	LGC
V1423979	HGC
V1886123	LGC
V1213718	HGC
V1423766	HGC
V1424050	HGC
V1880026	LGC
V1884640	LGC
V1883297	LGC
V1886344	LGC
V1887296	LGC
V1886265	LGC
V1389187	LGC
V1424852	HGC
V1164166	LGC
V1886177	LGC
V1388964	LGC
V1446913	LGC
V1469318	LGC
V1884505	LGC
V1424939	HGC
V1481436	LGC
V1202585	HGC
V1891150	LGC
V1238174	HGC
V1887212	LGC
V1891258	LGC
V1891413	LGC
V1381099	HGC
V1424150	HGC
V1807931	LGC
V1886010	LGC
V1886295	LGC
V1886629	LGC
V1214506	HGC
V1886018	LGC
V1453879	HGC
V1883206	LGC
V1205990	HGC
V1891260	LGC
V1163997	LGC
V1880067	LGC
V1884485	LGC
V1202898	HGC
V1209719	HGC
V1452376	HGC
V1882943	LGC
V1149355	LGC
V1886013	LGC
V1886194	LGC
V1388998	LGC
V1481470	LGC
V1883244	LGC
V1886517	LGC
V1323561	HGC
V1884759	LGC
V1223012	HGC
V1886971	LGC
V1886020	LGC
V1886538	LGC
V1889488	LGC
V1203279	HGC
V1880902	LGC
V1884531	LGC
V1886255	LGC
V1213026	HGC
V1424272	HGC
V1581807	LGC
V1885150	LGC
V1887297	LGC
V1157499	HGC
V1425479	HGC
V1884568	LGC
V1423861	HGC
V1886143	LGC
V1891187	LGC
V1552770	LGC
V1884652	LGC
V1155827	HGC
V1692953	LGC
V1891133	LGC
V1388999	LGC
V1424681	HGC
V1883109	LGC
V1144304	LGC
V1380652	HGC
V1424031	HGC
V1163834	LGC
V1886065	LGC
V1530689	HGC
V1884557	LGC
V1163439	LGC
V1882944	LGC
V1886121	LGC
V1297375	LGC
V1880908	LGC
V1886200	LGC
V1828829	LGC
V1047088	LGC
V1340164	HGC
V1392216	HGC
V1059001	HGC
V1517484	HGC
V1562543	HGC
V1886097	LGC
V1886142	LGC
V1887315	LGC
V1213130	HGC
V1430573	HGC
V1879918	LGC
V1884502	LGC
V1884696	LGC
V1388984	LGC
V1552830	LGC
V1425064	HGC
V1870094	HGC
V1891143	LGC
V1574099	LGC
V1885076	LGC
V1886054	LGC
V1886216	LGC
V1891141	LGC
V1882856	LGC
V1163633	LGC
V1610177	LGC
V1883106	LGC
V1204458	LGC
V1886047	LGC
V1042408	HGC
V1336051	LGC
V1388946	LGC
V1389384	LGC
V1446922	LGC
V1886062	LGC
V1339074	LGC
V1879897	LGC
V1883166	LGC
V1886558	LGC
V1381169	HGC
V1614838	HGC
V1808693	HGC
V1886399	LGC
V1553663	HGC
V1592800	LGC
V1886398	LGC
V1882950	LGC
V1886357	LGC
V1163821	LGC
V1591707	LGC
V1884541	LGC
V1884810	LGC
V1163094	LGC
V1884848	LGC
V1237160	HGC
V1882916	LGC
V1883145	LGC
V1884498	LGC
V1886605	LGC
V1423767	HGC
V1808052	LGC
V1885051	LGC
V1886721	LGC
V1083487	HGC
V1423733	HGC
V1884629	LGC
V1886300	LGC
V1338891	LGC
V1882914	LGC
V1884606	LGC
V1886036	LGC
V1047098	LGC
V1163655	LGC
V1423397	HGC
V1205430	HGC
V1884608	LGC
V1886585	LGC
V1078022	HGC
V1425713	HGC
V1469297	LGC
V1755549	LGC
V1884285	LGC
V1884720	LGC
V1010320	HGC
V1043350	HGC
V1163196	LGC
V1249839	HGC
V1808012	LGC
V1886128	LGC
V1886262	LGC
V1891098	LGC
V1034274	LGC
V1204492	LGC
V1424238	HGC
V1503004	HGC
V1552872	LGC
V1884683	LGC
V1163126	LGC
V1580955	LGC
V1044644	HGC
V1060343	HGC
V1423749	HGC
V1880846	LGC
V1882892	LGC
V1093074	HGC
V1446904	LGC
V1882327	LGC
V1033736	LGC
V1290505	LGC
V1882919	LGC
V1884495	LGC
V1891132	LGC
V1581212	LGC
V1340709	HGC
V1784615	HGC
V1886317	LGC
V1886461	LGC
V1203999	HGC
V1010370	HGC
V1163894	LGC
V1199607	LGC
V1164339	LGC
V1884544	LGC
V1884633	LGC
V1884647	LGC
V1552813	LGC
V1886580	LGC
V1203204	HGC
V1882321	LGC
V1887004	LGC
V1828830	LGC
V1163365	LGC
V1884674	LGC
V1886083	LGC
V1886201	LGC
V1300553	LGC
V1339026	LGC
V1880005	LGC
V1886196	LGC
V1886263	LGC
V1886369	LGC
V1033691	HGC
V1158598	HGC
V1389769	LGC
V1883150	LGC
V1884486	LGC
V1091760	HGC
V1214522	HGC
V1883111	LGC
V1883302	LGC
V1163746	LGC
V1229554	HGC
V1879985	LGC
V1430882	HGC
V1572527	HGC
V1828864	LGC
V1882952	LGC
V1884819	LGC
V1890240	LGC
V1163118	LGC
V1608313	HGC
V1882953	LGC
V1882957	LGC
V1891159	LGC
V1891232	LGC
V1150703	LGC
V1884611	LGC
V1464388	HGC
V1424708	HGC
V1886386	LGC
V1014932	HGC
V1164826	LGC
V1363976	HGC
V1423747	HGC
V1609073	LGC
V1879980	LGC
V1880036	LGC
V1884659	LGC
V1202534	HGC
V1883367	LGC
V1886473	LGC
V1890891	LGC
V1891149	LGC
V1337358	LGC
V1882243	LGC
V1883136	LGC
V1884477	LGC
V1886246	LGC
V1520185	HGC
V1886104	LGC
V1163083	LGC
V1163352	LGC
V1423765	HGC
V1597514	HGC
V1163106	LGC
V1163127	LGC
V1163707	LGC
V1460661	HGC
V1465413	HGC
V1519499	HGC
V1887241	LGC
V1008495	HGC
V1203391	HGC
V1884637	LGC
V1887285	LGC
V1203088	HGC
V1610070	LGC
V1884612	LGC
V1886712	LGC
V1164197	LGC
V1374236	HGC
V1376893	HGC
V1879847	LGC
V1880860	LGC
V1886333	LGC
V1887017	LGC
V1796861	LGC
V1796909	LGC
V1884635	LGC
V1886334	LGC
V1424281	HGC
V1469327	LGC
V1238539	HGC
V1431657	HGC
V1884527	LGC
V1096366	HGC
V1339711	HGC
V1784195	HGC
V1784777	LGC
V1884539	LGC
V1388957	LGC
V1883105	LGC
V1884630	LGC
V1032867	LGC
V1339861	HGC
V1341327	HGC
V1364188	HGC
V1424849	HGC
V1605953	LGC
V1886068	LGC
V1891214	LGC
V1227395	HGC
V1399193	LGC
V1469363	LGC
V1552749	LGC
V1605904	LGC
V1882918	LGC
V1886966	LGC
V1092088	HGC
V1140098	HGC
V1500383	HGC
V1595331	HGC
V1883310	LGC
V1884650	LGC
V1890906	LGC
V1890909	LGC
V1884540	LGC
V1884592	LGC
V1884645	LGC
V1033311	LGC
V1884567	LGC
V1884622	LGC
V1891197	LGC
V1339799	HGC
V1392006	HGC
V1872682	HGC
V1883157	LGC
V1884649	LGC
V1885164	LGC
V1886107	LGC
V1042441	HGC
V1162599	LGC
V1796873	LGC
V1884501	LGC
V1884818	LGC
V1886312	LGC
V1886400	LGC
V1203808	HGC
V1423711	HGC
V1491718	HGC
V1784277	HGC
V1882224	LGC
V1392169	HGC
V1884605	LGC
V1884641	LGC
V1886193	LGC
V1886512	LGC
V1266145	HGC
V1388993	LGC
V1882917	LGC
V1883249	LGC
V1885050	LGC
V1886410	LGC
V1073455	HGC
V1074313	HGC
V1808034	LGC
V1808173	LGC
V1884646	LGC
V1886171	LGC
V1886628	LGC
V1886699	LGC
V1139649	HGC
V1364636	HGC
V1389989	LGC
V1884873	LGC
V1885068	LGC
V1891134	LGC
V1158726	HGC
V1293248	HGC
V1425259	HGC
V1552826	LGC
V1886146	LGC
V1886547	LGC
V1890894	LGC
V1891152	LGC
V1159530	HGC
V1206512	LGC
V1882225	LGC
V1886153	LGC
V1886330	LGC
V1886997	LGC
V1891131	LGC
V1045334	HGC
V1077866	HGC
V1143964	LGC
V1338903	LGC
V1424850	HGC
V1880091	LGC
V1882920	LGC
V1162989	LGC
V1214172	HGC
V1302934	LGC
V1492831	HGC
V1503145	LGC
V1808033	LGC
V1882160	LGC
V1884614	LGC
V1886502	LGC
V1143648	LGC
V1425212	HGC
V1598371	LGC
V1784546	HGC
V1883177	LGC
V1886072	LGC
V1886273	LGC
V1891274	LGC
V1891297	LGC
V1033705	LGC
V1250111	HGC
V1357847	HGC
V1499093	HGC
V1541210	LGC
V1808209	HGC
V1880917	LGC
V1887155	LGC
V1891114	LGC
V1164043	LGC
V1195980	HGC
V1323474	HGC
V1392302	HGC
V1399511	LGC
V1469298	LGC
V1883327	LGC
V1885084	LGC
V1886034	LGC
V1886041	LGC
V1010947	HGC
V1076324	HGC
V1423893	HGC
V1424581	HGC
V1880868	LGC
V1886647	LGC
V1381889	HGC
V1501870	HGC
V1573360	HGC
V1808042	LGC
V1879848	LGC
V1879849	LGC
V1886719	LGC
V1888665	LGC
V1047378	LGC
V1424933	HGC
V1581271	LGC
V1884569	LGC
V1047094	LGC
V1082749	HGC
V1327231	HGC
V1389007	LGC
V1398959	LGC
V1424323	HGC
V1521364	HGC
V1883256	LGC
V1886283	LGC
V1202892	HGC
V1265954	HGC
V1448171	LGC
V1469467	LGC
V1580921	LGC
V1605898	LGC
V1076095	HGC
V1160507	HGC
V1163537	LGC
V1191452	HGC
V1209220	HGC
V1295628	HGC
V1383406	HGC
V1498827	HGC
V1594601	HGC
V1783987	LGC
V1882940	LGC
V1886045	LGC
V1886067	LGC
V1886105	LGC
V1886112	LGC
V1886184	LGC
V1886439	LGC
V1886654	LGC
V1890859	LGC
V1033571	LGC
V1100374	HGC
V1144065	LGC
V1210612	LGC
V1295801	HGC
V1580711	LGC
V1882867	LGC
V1884714	LGC
V1886190	LGC
V1891108	LGC
V1143907	LGC
V1163412	LGC
V1163690	LGC
V1164018	LGC
V1206518	LGC
V1295918	HGC
V1389185	LGC
V1424298	HGC
V1594751	HGC
V1755586	LGC
V1828816	LGC
V1879978	LGC
V1883184	LGC
V1886440	LGC
V1203301	HGC
V1339078	LGC
V1339706	HGC
V1365279	HGC
V1467000	HGC
V1552836	LGC
V1570293	HGC
V1581637	LGC
V1610110	LGC
V1883151	LGC
V1886140	LGC
V1886290	LGC
V1886466	LGC
V1887319	LGC
V1891144	LGC
V1082145	HGC
V1163480	LGC
V1164858	LGC
V1197633	HGC
V1580860	LGC
V1882941	LGC
V1886164	LGC
V1886303	LGC
V1034351	LGC
V1138297	HGC
V1143820	LGC
V1162928	LGC
V1423351	LGC
V1432359	HGC
V1883380	LGC
V1884571	LGC
V1884826	LGC
V1886073	LGC
V1886382	LGC
V1886405	LGC
V1886446	LGC
V1032947	LGC
V1044037	HGC
V1047184	LGC
V1079798	HGC
V1150421	LGC
V1163818	LGC
V1339995	HGC
V1784731	LGC
V1785521	LGC
V1875149	LGC
V1884213	HGC
V1886352	LGC
V1886651	LGC
V1081021	HGC
V1111807	HGC
V1138246	HGC
V1339886	HGC
V1425581	HGC
V1430690	HGC
V1464316	HGC
V1784705	LGC
V1883303	LGC
V1886116	LGC
V1886602	LGC
V1888234	LGC
V1891234	LGC
V1032963	LGC
V1085680	HGC
V1163717	LGC
V1204833	HGC
V1340000	HGC
V1424461	HGC
V1446846	LGC
V1469287	LGC
V1784719	LGC
V1882853	LGC
V1884644	LGC
V1891244	LGC
V1891300	LGC
V1013494	HGC
V1047323	LGC
V1157973	HGC
V1162991	LGC
V1177462	HGC
V1339870	HGC
V1341295	HGC
V1432103	HGC
V1828817	LGC
V1828854	LGC
V1884580	LGC
V1886550	LGC
V1886579	LGC
V1886673	LGC
V1887305	LGC
V1032868	LGC
V1150609	LGC
V1238368	HGC
V1388960	LGC
V1422053	HGC
V1424185	HGC
V1436037	HGC
V1836058	LGC
V1880098	LGC
V1882150	LGC
V1886609	LGC
V1891414	LGC
V1046755	LGC
V1137175	LGC
V1324413	HGC
V1336050	LGC
V1446891	LGC
V1552807	LGC
V1884785	LGC
V1884821	LGC
V1886009	LGC
V1886213	LGC
V1164504	LGC
V1200739	HGC
V1364363	HGC
V1392051	HGC
V1392259	HGC
V1446443	LGC
V1879874	LGC
V1882869	LGC
V1886359	LGC
V1886485	LGC
V1891153	LGC
V1066642	HGC
V1143185	LGC
V1163711	LGC
V1416077	LGC
V1458289	HGC
V1559309	HGC
V1580822	LGC
V1784115	LGC
V1784739	LGC
V1828757	LGC
V1882951	LGC
V1883182	LGC
V1883280	LGC
V1884523	LGC
V1033282	LGC
V1047168	LGC
V1144017	LGC
V1149207	LGC
V1389188	LGC
V1424283	HGC
V1593025	LGC
V1784208	LGC
V1784622	HGC
V1796849	LGC
V1882881	LGC
V1882884	LGC
V1882942	LGC
V1883222	LGC
V1886082	LGC
V1891145	LGC
V1092573	HGC
V1136980	LGC
V1163909	LGC
V1237089	HGC
V1336800	LGC
V1338932	LGC
V1425099	HGC
V1436641	HGC
V1784017	LGC
V1880079	LGC
V1884655	LGC
V1884872	LGC
V1886199	LGC
V1886635	LGC
V1886658	LGC
V1912876	LGC
V1045294	HGC
V1144147	LGC
V1159593	HGC
V1295229	HGC
V1338883	LGC
V1446892	LGC
V1446895	LGC
V1459185	HGC
V1466896	HGC
V1469285	LGC
V1607305	LGC
V1828861	LGC
V1884483	LGC
V1886296	LGC
V1886507	LGC
V1886513	LGC
V1888357	LGC
V1890893	LGC
V1891097	LGC
V1891216	LGC
V1033819	HGC
V1097722	HGC
V1143662	LGC
V1295084	HGC
V1341279	HGC
V1367011	HGC
V1399301	LGC
V1425244	HGC
V1430382	HGC
V1447161	LGC
V1493421	HGC
V1552843	LGC
V1785496	HGC
V1880850	LGC
V1883108	LGC
V1883143	LGC
V1886321	LGC
V1886516	LGC
V1886999	LGC
V1891296	LGC
V1010716	HGC
V1064859	LGC
V1202910	HGC
V1296100	HGC
V1339040	LGC
V1339670	LGC
V1366629	LGC
V1574805	HGC
V1883110	LGC
V1884617	LGC
V1009707	HGC
V1046252	HGC
V1059571	HGC
V1076392	HGC
V1293700	HGC
V1339707	HGC
V1392944	HGC
V1423912	HGC
V1450022	LGC
V1499765	HGC
V1580786	LGC
V1784291	LGC
V1784685	LGC
V1880078	LGC
V1880222	LGC
V1884619	LGC
V1884775	LGC
V1886138	LGC
V1886476	LGC
V1886979	LGC
V1891165	LGC
V1891191	LGC
V1032949	LGC
V1138803	HGC
V1156660	HGC
V1159562	HGC
V1203277	HGC
V1295278	HGC
V1297360	LGC
V1364296	HGC
V1520692	HGC
V1879868	LGC
V1880119	LGC
V1882887	LGC
V1884709	LGC
V1886046	LGC
V1886181	LGC
V1886183	LGC
V1886253	LGC
V1886618	LGC
V1083207	HGC
V1143837	LGC
V1144117	LGC
V1147897	HGC
V1162624	LGC
V1164357	LGC
V1202747	HGC
V1203933	HGC
V1364336	HGC
V1388963	LGC
V1423334	LGC
V1423748	HGC
V1423827	HGC
