gene	geneCountCategory
V1469467	LGC
V1852109	HGC
V1093074	HGC
V1195882	HGC
V1580955	LGC
V1469573	LGC
V1552772	LGC
V1392216	HGC
V1552804	LGC
V1483570	HGC
V1886416	LGC
V1541236	LGC
V1886558	LGC
V1574099	LGC
V1033721	HGC
V1519450	HGC
V1144133	LGC
V1499093	HGC
V1297356	LGC
V1500383	HGC
V1430573	HGC
V1886517	LGC
V1340164	HGC
V1143984	LGC
V1620445	HGC
V1886409	LGC
V1075411	HGC
V1033302	HGC
V1101641	LGC
V1059001	HGC
V1886466	LGC
V1481366	LGC
V1381099	HGC
V1886605	LGC
V1580921	LGC
V1886538	LGC
V1882239	LGC
V1886399	LGC
V1297375	LGC
V1581637	LGC
V1879897	LGC
V1491685	HGC
V1363976	HGC
V1380652	HGC
V1389769	LGC
V1879985	LGC
V1581223	LGC
V1389384	LGC
V1043994	HGC
V1381169	HGC
V1481436	LGC
V1060343	HGC
V1503004	HGC
V1886464	LGC
V1879847	LGC
V1340709	HGC
V1159530	HGC
V1879918	LGC
V1592800	LGC
V1144304	LGC
V1554600	HGC
V1889488	LGC
V1430882	HGC
V1885928	LGC
V1481392	LGC
V1494140	LGC
V1886965	LGC
V1594051	HGC
V1467000	HGC
V1886461	LGC
V1398674	HGC
V1609073	LGC
V1886513	LGC
V1469363	LGC
V1552713	LGC
V1608313	HGC
V1562543	HGC
V1886712	LGC
V1364188	HGC
V1879848	LGC
V1158598	HGC
V1553528	LGC
V1574110	LGC
V1043313	HGC
V1852142	HGC
V1431657	HGC
V1464388	HGC
V1520185	HGC
V1078022	HGC
V1033375	LGC
V1095854	HGC
V1886398	LGC
V1581807	LGC
V1339706	HGC
V1519499	HGC
V1886580	LGC
V1399511	LGC
V1581271	LGC
V1392006	HGC
V1572527	HGC
V1077866	HGC
V1338161	LGC
V1043350	HGC
V1886629	LGC
V1469298	LGC
V1503145	LGC
V1144210	LGC
V1530689	HGC
V1158726	HGC
V1143837	LGC
V1581212	LGC
V1886446	LGC
V1295801	HGC
V1879849	LGC
V1096366	HGC
V1397482	HGC
V1886635	LGC
V1339861	HGC
V1339711	HGC
V1886598	LGC
V1886508	LGC
V1887155	LGC
V1399043	LGC
V1574093	LGC
V1886303	LGC
V1886153	LGC
V1886512	LGC
V1091760	HGC
V1886673	LGC
V1295628	HGC
V1448171	LGC
V1886400	LGC
V1397554	HGC
V1469327	LGC
V1381260	HGC
V1430382	HGC
V1399193	LGC
V1366629	LGC
V1799411	HGC
V1607555	HGC
V1883280	LGC
V1886979	LGC
V1436037	HGC
V1886439	LGC
V1144017	LGC
V1580786	LGC
V1143907	LGC
V1339707	HGC
V1886579	LGC
V1149253	LGC
V1886628	LGC
V1366482	LGC
V1498827	HGC
V1136929	LGC
V1324413	HGC
V1392302	HGC
V1392944	HGC
V1339995	HGC
V1339870	HGC
V1886116	LGC
V1886585	LGC
V1595138	HGC
V1144065	LGC
V1423312	LGC
V1886609	LGC
V1100374	HGC
V1886570	LGC
V1886616	LGC
V1042441	HGC
V1076095	HGC
V1580703	LGC
V1144117	LGC
V1594919	HGC
V1499765	HGC
V1884825	LGC
V1339886	HGC
V1886498	LGC
V1594601	HGC
V1547357	LGC
V1491718	HGC
V1046120	HGC
V1381889	HGC
V1469285	LGC
V1574805	HGC
V1392169	HGC
V1096225	HGC
V1364363	HGC
V1886473	LGC
V1044644	HGC
V1518180	HGC
V1882884	LGC
V1365279	HGC
V1608734	LGC
V1383406	HGC
V1517484	HGC
V1552830	LGC
V1430708	HGC
V1160507	HGC
V1886079	LGC
V1045334	HGC
V1046752	LGC
V1045294	HGC
V1136980	LGC
V1464316	HGC
V1398959	LGC
V1886382	LGC
V1886404	LGC
V1074834	HGC
V1888234	LGC
V1886440	LGC
V1295927	HGC
V1580761	LGC
V1389989	LGC
V1886535	LGC
V1203277	HGC
V1580854	LGC
V1339962	HGC
V1295524	HGC
V1886654	LGC
V1064859	LGC
V1293700	HGC
V1573360	HGC
V1886438	LGC
V1553208	LGC
V1592383	LGC
V1886502	LGC
V1570293	HGC
V1886500	LGC
V1886613	LGC
V1886410	LGC
V1044037	HGC
V1042632	HGC
V1195980	HGC
V1886725	LGC
V1886072	LGC
V1887017	LGC
V1886647	LGC
V1886405	LGC
V1097722	HGC
V1340884	HGC
V1094593	HGC
V1144281	LGC
V1341017	HGC
V1886602	LGC
V1481456	LGC
V1355689	HGC
V1553529	LGC
V1302876	LGC
V1077936	HGC
V1886619	LGC
V1356684	HGC
V1399301	LGC
V1339618	LGC
V1879841	LGC
V1144147	LGC
V1447160	LGC
V1144021	LGC
V1191452	HGC
V1389855	LGC
V1882160	LGC
V1879950	LGC
V1886253	LGC
V1491800	HGC
V1886283	LGC
V1389743	LGC
V1327231	HGC
V1159593	HGC
V1886614	LGC
V1290566	LGC
V1076023	HGC
V1059571	HGC
V1886658	LGC
V1143929	LGC
V1886719	LGC
V1101798	LGC
V1483949	HGC
V1144166	LGC
V1594751	HGC
V1520249	HGC
V1592583	LGC
V1161051	HGC
V1886623	LGC
V1886618	LGC
V1157973	HGC
V1340000	HGC
V1469287	LGC
V1416302	LGC
V1519991	HGC
V1886652	LGC
V1465413	HGC
V1144334	LGC
V1880119	LGC
V1882237	LGC
V1886664	LGC
V1886073	LGC
V1144023	LGC
V1503149	LGC
V1340235	HGC
V1884616	LGC
V1366656	LGC
V1341295	HGC
V1383644	HGC
V1469390	LGC
V1879856	LGC
V1075476	HGC
V1581530	LGC
V1886476	LGC
V1886651	LGC
V1143990	LGC
V1580822	LGC
V1366663	LGC
V1097461	HGC
V1469318	LGC
V1339799	HGC
V1149573	LGC
V1092088	HGC
V1340044	HGC
V1886593	LGC
V1201295	HGC
V1618025	HGC
V1886639	LGC
V1390099	LGC
V1144237	LGC
V1340329	HGC
V1883366	LGC
V1057035	HGC
V1886569	LGC
V1197633	HGC
V1098184	HGC
V1886728	LGC
V1157461	HGC
V1392405	HGC
V1886510	LGC
V1886477	LGC
V1094438	HGC
V1886699	LGC
V1883121	LGC
V1886489	LGC
V1335956	HGC
V1483621	HGC
V1046755	LGC
V1552800	LGC
V1581482	LGC
V1392051	HGC
V1886584	LGC
V1492831	HGC
V1491691	HGC
V1430423	HGC
V1364898	HGC
V1430689	HGC
V1432440	HGC
V1239235	HGC
V1595790	HGC
V1044917	HGC
V1464522	HGC
V1427631	HGC
V1101963	LGC
V1144196	LGC
V1498665	HGC
V1886184	LGC
V1164826	LGC
V1569000	HGC
V1335553	HGC
V1431931	HGC
V1297360	LGC
V1875142	LGC
V1100307	HGC
V1042408	HGC
V1200639	HGC
V1340633	HGC
V1045139	HGC
V1592899	LGC
V1886503	LGC
V1144075	LGC
V1581467	LGC
V1267647	HGC
V1886550	LGC
