PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_coleocanis	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_rimae	Atopobium_vaginae	BVAB1	Bacillus_cereus	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Clostridiales_Family	Clostridium_botulinum	Clostridium_difficile	Clostridium_sp.	Collinsella_tanakaei	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_genitalium	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Corynebacterium_uterequi	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Jonquetella_anthropi	Klebsiella_oxytoca	Lachnospiraceae_bacterium	Lactobacillus_acidophilus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_pentosus	Lactobacillus_reuteri	Lactobacillus_ruminis	Lactobacillus_sakei	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_goodfellowii	Leptotrichia_hofstadii	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_canis	Mycoplasma_columbinum	Mycoplasma_fermentans	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_imitans	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_levii	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Sphingobacterium_spiritivorum	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_hominis	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptobacillus_moniliformis	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_macacae	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_parvirubra	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
010B	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	4	166	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	9	0	1	14	0	0	0	0	0	0	4	0	1	0	938	1	0	1	1	0	3	0	116	4	4052	21	3	295	115	1069	272	34	1	0	2	0	0	1	2	120	18	0	0	0	0	0	0	0	2	1	0	277	0	47	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	1	0	0	0	0	6	544	1	82	0	0	81	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	63	0	0	81	0	0	0	0	8	0	86	80	0	0	2	0	4	7	0	5	8	0	5	1	4	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0
012A	1	0	0	0	0	0	2	0	1	0	2	0	34	38	8	235	0	22	0	0	478	1186	1	0	1	1	1	1	1	3	3	89	0	0	6	0	0	0	0	0	1	0	4	1	0	6	91	215	3	0	3	2	3	16	1	0	0	6	0	2	59	9	7	0	15090	0	2	0	0	4	2	0	9	1	641	2	2	276	7	3565	294	24	0	2	0	0	2	1	3	8	1	0	1	1	3	1	2	3	199	5	4	2116	63	223	0	5	289	0	0	0	0	480	0	0	0	0	3	1	0	0	6	0	0	18	18	181	2	1347	11	20	21	2	16	2	0	236	1146	40	195	0	0	2390	85	0	39	132	3	2	0	0	15	7	6	0	2	0	14	12	4	7	1	1444	0	1	2668	1	0	1	1	146	1	1029	1001	0	0	0	0	0	14	0	0	1	0	9	8	1	2	2	1	0	0	0	19	0	6	0	0	0	0	0	0	0	2	1	127	143	1	2	2	1
012B	1	0	1	0	0	0	2	0	1	0	2	0	14	10	10	49	0	4	0	0	1144	183	1	0	0	0	1	3	1	9	2	14	0	0	7	0	0	0	0	0	0	0	1	0	0	5	65	172	1	0	5	3	2	14	0	0	1	3	0	0	35	7	2	0	13526	0	0	0	0	2	3	0	9	0	495	3	2	624	4	3346	312	27	1	1	1	0	2	1	0	9	1	0	1	1	0	1	1	1	162	2	2	1875	39	90	1	8	419	0	0	0	0	6	0	1	0	0	1	0	0	4	5	0	0	2	14	305	0	508	7	7	6	0	28	0	0	361	2168	14	160	0	1	1471	28	0	23	44	0	0	0	0	9	2	0	1	0	1	10	4	4	1	2	252	1	0	2826	0	0	1	0	197	0	969	996	0	0	8	0	0	0	0	0	0	0	7	11	0	1	0	0	0	0	0	1	0	5	0	0	0	0	8	0	0	0	0	150	166	0	0	0	2
013A	1	0	0	0	0	0	0	0	0	0	1	0	10	4	5	35	0	14	0	0	473	282	1	0	0	0	0	1	1	1	4	5	0	0	3	0	0	0	0	0	0	0	1	0	0	5	48	163	1	0	2	1	2	10	1	0	1	3	0	0	16	5	1	0	10978	0	0	0	1	3	0	0	10	2	477	3	2	455	5	3521	513	25	0	1	0	0	0	1	4	8	1	0	1	1	1	1	3	2	164	8	3	893	30	230	0	1	1	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	2	6	329	2	45	3	8	5	0	1	0	0	2	2227	13	174	0	0	1565	26	0	29	55	4	1	0	0	11	1	0	0	0	0	7	10	2	24	0	143	1	5	845	0	0	0	0	199	0	1000	1070	0	0	0	0	0	0	0	0	0	0	14	4	0	2	2	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	1	219	222	0	1	0	1
013B	1	0	0	0	0	0	2	0	1	0	0	0	49	90	21	1009	2	0	0	0	2023	170	1	0	0	0	0	0	0	0	1	14	0	0	2	0	0	0	0	0	2	0	2	0	0	4	99	178	0	0	1	0	0	7	0	9	0	3	0	0	58	0	6	0	950	0	0	0	0	1	1	0	8	4	568	1	0	494	3	1417	174	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	15	11	7	884	7	261	0	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	7	14	58	2	13	0	27	10	0	1	0	0	3	503	3	32	0	0	109	4	1	2	298	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	305	0	0	252	0	3	0	0	1	0	68	60	0	0	34	0	0	1	0	0	0	0	5	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	2	0	1	0	2
014B	2	0	0	0	1	0	3	0	0	0	2	0	104	6	4	59	0	77	1	0	894	227	1	0	0	0	1	6	0	6	4	17	0	0	2	0	0	0	0	0	0	0	1	0	0	5	57	178	1	0	3	3	2	22	0	0	0	2	0	0	31	8	22	1	15036	14	0	0	47	3	2	0	10	0	561	3	2	284	4	3308	257	28	0	1	0	0	2	1	3	8	2	1	2	2	1	1	3	6	551	8	4	1156	78	248	0	6	6	0	0	0	0	15	1	0	0	1	1	0	0	2	10	1	1	9	11	146	0	33	1	9	13	0	3	0	1	12	2338	31	202	0	0	2258	59	0	23	70	4	1	0	0	19	2	0	0	0	0	15	11	1	21	0	235	12	4	2329	1	0	0	0	206	0	1017	1052	0	0	0	0	6	4	0	1	0	0	11	8	0	2	0	0	1	9	1	2	0	2	0	1	0	1	0	1	0	0	0	125	140	47	66	0	1
015B	0	0	1	0	0	1	0	0	0	0	1	0	8	0	1	4	0	0	0	0	12	255	1	0	0	0	1	7	174	27	1397	2	0	0	1	0	0	0	1	0	0	0	1	0	1	0	58	92	0	1	3	0	1	36	0	0	0	0	0	0	4	1	3	0	1703	0	0	1	0	2	3	0	10	0	894	0	0	382	6	1353	424	14	0	0	0	0	0	0	0	12	1	3	0	0	0	0	0	1	11	0	0	467	2	77	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	7	0	0	1	0	4	0	0	12	859	2	1846	0	0	149	12	0	10	43	1	0	0	0	2	1	0	0	0	0	4	2	1	0	0	129	0	0	177	0	0	1	0	19	0	120	153	0	0	0	0	0	0	0	1	0	0	1909	17	27	0	20	22	4	1	1	2	1	13	0	4	0	0	23	0	0	0	0	2	1	2	0	0	0
016B	1	0	0	0	1	0	0	0	0	0	1	0	49	9	16	56	0	48	0	0	590	312	1	0	0	0	1	1	1	4	11	19	0	0	4	0	0	0	0	0	1	0	1	0	0	5	57	181	1	0	3	1	1	125	0	0	0	3	1	0	36	10	12	0	13526	0	0	0	0	3	1	0	12	1	740	2	2	411	10	3330	448	28	0	3	0	0	2	1	2	13	1	0	0	1	0	1	3	2	184	7	3	1121	50	283	0	5	4	0	0	0	0	8	0	0	0	0	5	2	0	1	9	0	0	9	11	24	2	36	2	18	15	0	2	0	0	13	2196	19	236	0	0	286	19	0	20	62	1	0	0	0	6	10	6	2	0	0	8	1	1	0	2	1509	0	0	302	0	4	0	0	196	11	887	1012	0	0	0	0	1	0	0	0	0	0	42	11	2	2	4	0	1	0	0	0	0	5	0	3	0	0	2	0	0	0	1	1	3	0	2	1	2
017B	2	1	0	0	1	0	2	0	1	0	0	0	17	26	6	246	0	25	0	0	826	237	1	1	0	0	0	6	1	7	4	30	0	1	3	0	0	0	0	0	2	0	0	0	0	6	90	248	3	0	4	5	2	27	1	0	0	3	0	2	42	14	286	10	14728	0	0	0	2	0	0	0	7	3	636	4	2	333	5	2959	305	29	0	1	0	0	1	1	1	11	2	0	1	6	0	3	5	5	409	10	6	1029	66	262	0	1	6	0	2	0	0	609	0	0	0	1	3	1	0	2	11	0	0	3	13	22	0	539	5	114	7	0	14	0	1	207	2445	38	486	0	1	1812	107	0	49	1511	2	1	0	0	23	2	0	1	0	1	13	31	5	15	0	180	1	3	2970	0	4	1	0	209	0	1020	1088	0	1	0	0	0	0	0	0	0	0	10	12	1	1	1	1	0	0	0	1	0	10	0	0	0	0	1	0	0	1	1	117	129	3	0	2	2
018B	2	0	0	0	0	0	3	0	0	0	1	0	37	8	12	100	0	1	0	0	566	189	1	0	0	0	1	3	3	8	2	18	0	0	1	0	0	1	0	0	0	0	0	0	0	13	88	202	1	0	56	0	1	12	1	0	0	5	1	0	34	7	2	0	14564	0	1	0	1	1	0	0	7	0	434	2	1	201	4	2720	233	15	0	1	0	0	0	0	0	4	1	0	1	1	0	2	2	1	749	8	4	1164	69	259	1	3	6	0	0	0	0	6	0	0	0	1	2	1	0	0	4	1	0	1	11	118	1	895	0	11	2	0	4	0	0	13	2346	22	240	0	0	906	36	0	33	89	1	0	0	0	15	8	6	1	0	1	8	9	1	2	2	1486	0	1	2464	0	0	2	0	194	1	763	1042	0	1	0	0	0	0	0	0	0	0	13	24	0	1	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	1	1	158	161	2	1	2	3
