PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_coleocanis	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_rimae	Atopobium_vaginae	BVAB1	Bacillus_cereus	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Clostridiales_Family	Clostridium_botulinum	Clostridium_difficile	Clostridium_sp.	Collinsella_tanakaei	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_genitalium	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Corynebacterium_uterequi	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Jonquetella_anthropi	Klebsiella_oxytoca	Lachnospiraceae_bacterium	Lactobacillus_acidophilus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_pentosus	Lactobacillus_reuteri	Lactobacillus_ruminis	Lactobacillus_sakei	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_goodfellowii	Leptotrichia_hofstadii	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_canis	Mycoplasma_columbinum	Mycoplasma_fermentans	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_imitans	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_levii	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Sphingobacterium_spiritivorum	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_hominis	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptobacillus_moniliformis	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_macacae	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_parvirubra	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
012B	431	0	2	0	0	0	9	0	21	0	16	0	66	61	184	3697	0	36	0	0	12185	9992	17	0	0	0	5	14	2	133	34	344	0	0	2910	0	0	0	0	0	0	0	8	0	0	441	2587	14373	72	0	337	163	62	31	0	0	18	35	0	0	745	72	6	0	2088415	0	0	0	0	53	10	0	332	0	7985	15	7	4137	18	1924626	2738	349	2	9	3	0	7	3	0	67	7	0	2	3	0	47	6	3	9451	6	22	1807592	335	7326	2	87	3175	0	0	0	0	33	0	11	0	0	4	0	0	127	36	0	0	4	98	2280	0	3966	48	78	457	0	237	0	0	2479	1148465	362	11299	0	16	34016	265	0	674	1070	0	0	0	0	83	4	0	6	0	84	353	97	28	3	6	7821	10	0	353538	0	0	4	0	11855	0	85957	98447	0	0	17	0	0	0	0	0	0	0	177	364	0	8	0	0	0	0	0	2	0	20	0	0	0	0	24	0	0	0	0	1275	3097	0	0	0	66
013A	45	0	0	0	0	0	0	0	0	0	2	0	186	248	344	1305	0	42	0	0	5904	6992	5	0	0	0	0	4	17	12	19	288	0	0	7	0	0	0	0	0	0	0	2	0	0	96	577	3998	10	0	9	6	100	20	8	0	3	91	0	0	567	233	3	0	495704	0	0	0	3	31	0	0	384	6	10859	36	13	2661	18	3270596	8242	557	0	10	0	0	0	5	36	61	6	0	4	41	2	383	52	23	4777	107	25	151928	198	34663	0	26	68	0	0	0	0	45	0	0	0	0	0	0	0	0	16	0	0	17	34	2146	5	329	26	97	231	0	46	0	0	4	1498073	176	15572	0	0	28324	500	0	499	2498	84	26	0	0	75	2	0	0	0	0	87	525	60	2396	0	13364	17	212	11976	0	0	0	0	10469	0	105898	382453	0	0	0	0	0	0	0	0	0	0	345	340	0	16	4	0	0	0	0	26	0	0	0	0	0	0	11	0	0	0	5	2821	5564	0	2	0	8
013B	883	0	0	0	0	0	28	0	2	0	0	0	205	322	101	14316	765	0	0	0	35161	4652	90	0	0	0	0	0	0	0	2	433	0	0	4	0	0	0	0	0	6	0	5	0	0	35	2114	7832	0	0	2	0	0	14	0	97	0	6	0	0	356	0	28	0	5158	0	0	0	0	3	2	0	50	8	3490	3	0	2674	10	18338	661	86	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	382	345	105	514247	250	133897	0	0	15	0	0	0	0	4	0	0	0	3	0	12	0	0	0	0	0	125	33	179	17	59	0	78	1471	0	2	0	0	11	3239	8	147	0	0	327	9	4	9	1589	0	0	0	0	3	2	0	0	0	2	4	0	0	0	0	1460	0	0	922	0	6	0	0	3	0	382	207	0	0	99	0	0	3	0	0	0	0	13	7	0	0	52	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	2	5	0	4	0	16
014B	16	0	0	0	3	0	10	0	0	0	4	0	943	531	12	2884	0	219	3	0	12793	12595	26	0	0	0	3	25	0	66	162	321	0	0	134	0	0	0	0	0	0	0	2	0	0	231	949	19156	42	0	15	9	21	48	0	0	0	34	0	0	1036	243	68	2	2018539	53	0	0	162	151	6	0	470	0	10507	31	16	1778	18	3821607	6566	1115	0	10	0	0	8	5	7	68	10	2	6	19	2	127	181	21	13592	255	43	401090	1432	78678	0	51	155	0	0	0	0	46	3	0	0	554	2	0	0	6	72	4	2	74	67	959	0	510	17	170	1019	0	66	0	16	121	2291476	2551	20397	0	0	353561	1688	0	738	2792	63	7	0	0	661	61	0	0	0	0	158	1317	79	3054	0	18806	1080	264	113246	2	0	0	0	13525	0	124233	212294	0	0	0	0	16	14	0	3	0	0	145	623	0	287	0	0	2	25	3	5	0	5	0	2	0	2	0	2	0	0	0	1199	4241	137	203	0	44
015B	0	0	3	0	0	3	0	0	0	0	6	0	20	0	4	8	0	0	0	0	50	1683	206	0	0	0	23	111	4113	480	52798	11	0	0	5	0	0	0	2	0	0	0	3	0	2	0	1238	1655	0	9	37	0	25	77	0	0	0	0	0	0	14	3	6	0	10844	0	0	28	0	12	12	0	110	0	8377	0	0	2038	23	19316	2169	62	0	0	0	0	0	0	0	112	2	11	0	0	0	0	0	4	72	0	0	3028	4	425	0	0	5	0	0	0	0	5	0	0	0	0	0	0	164	0	0	0	0	0	25	6	0	17	0	0	2	0	14	0	0	40	10389	12	379441	0	0	660	248	0	128	1248	2	0	0	0	185	3	0	0	0	0	22	13	2	0	0	658	0	0	918	0	0	2	0	57	0	452	614	0	0	0	0	0	0	0	3	0	0	202767	119	571	0	961	263	40	14	31	4	6	408	0	45	0	0	866	0	0	0	0	4	3	4	0	0	0
016B	352	0	0	0	2	0	0	0	0	0	29	0	504	1029	618	865	0	162	0	0	11474	15698	43	0	0	0	5	4	3	58	52	2505	0	0	1999	0	0	0	0	0	4	0	2	0	0	26	1045	7468	41	0	10	3	18	311	0	0	0	38	99	0	3923	49	36	0	1621247	0	0	0	0	97	4	0	702	4	16320	69	23	2711	176	7043594	6405	1294	0	42	0	0	13	4	11	116	20	0	0	9	0	57	27	6	6802	211	57	357097	378	119466	0	73	256	0	0	0	0	96	0	0	0	0	35	18	0	5	127	0	0	129	210	165	43	708	4	147	2133	0	40	0	0	54	560185	624	4420	0	0	2000	180	0	539	1057	5	0	0	0	178	1414	332	4	0	0	62	7	154	0	5	397501	0	0	6321	0	8	0	0	9632	36	36536	135118	0	0	0	0	2	0	0	0	0	0	236	606	6	50	294	0	2	0	0	0	0	30	0	12	0	0	4	0	0	0	317	2	7	0	4	2	5
017B	719	2	0	0	3	0	11	0	4	0	0	0	106	186	1260	3703	0	103	0	0	9916	8854	221	54	0	0	0	57	2	191	86	339	0	3	24	0	0	0	0	0	37	0	0	0	0	396	6018	31365	266	0	119	146	33	55	29	0	0	22	0	30	4024	249	2320	87	4366229	0	0	0	6	0	0	0	378	6	8631	24	21	2985	49	2065279	2826	399	0	21	0	0	2	2	2	72	10	0	3	112	0	151	138	49	12675	480	136	434643	1326	145701	0	5	23	0	16	0	0	17802	0	0	0	97	206	7	0	15	133	0	0	720	80	186	0	4554	42	681	1174	0	150	0	66	939	5333441	1387	40330	0	2	53119	3020	0	3751	42625	63	2	0	0	607	58	0	118	0	86	534	1441	1302	2087	0	42041	53	25	456101	0	8	2	0	16596	0	134952	791538	0	4	0	0	0	0	0	0	0	0	2664	1487	2	2	2	2	0	0	0	3	0	156	0	0	0	0	4	0	0	4	18	879	1930	6	0	9	46
018B	5	0	0	0	0	0	9	0	0	0	4	0	222	64	118	1818	0	8	0	0	4712	4903	43	0	0	0	11	40	45	287	75	436	0	0	33	0	0	2	0	0	0	0	0	0	0	416	3295	21192	95	0	171	0	20	26	28	0	0	18	93	0	1066	1342	4	0	3218357	0	2	0	3	11	0	0	75	0	4065	8	2	927	9	398371	1190	105	0	2	0	0	0	0	0	34	2	0	2	10	0	235	19	4	14497	317	39	254329	1162	63331	6	8	31	0	0	0	0	32	0	0	0	25	15	2	0	0	17	26	0	3	96	470	2	12566	0	140	855	0	181	0	0	61	2797504	579	26621	0	0	14699	284	0	1940	2081	3	0	0	0	411	463	155	17	0	29	115	66	3	8	10	110103	0	6	160523	0	0	21	0	10117	2	15289	258051	0	2	0	0	0	0	0	0	0	0	380	1876	0	18	0	3	0	0	0	0	0	59	0	0	0	0	2	0	0	3	14	1286	2930	4	2	13	57
019A	0	0	7	8	0	0	0	5841	0	2	0	0	1727	93	1853	2853	0	29	0	0	20122	8915	66	0	0	0	2	0	0	5	8	3343	0	0	122	0	0	0	0	0	14	0	0	0	0	0	1835	685	334	0	450	63	789	56	0	0	0	481	0	21	956	0	405	6	97743	926	0	8	203	0	5	62	4110	298	960739	229	36	5984	3160	7776556	67180	3535	0	31	2	0	20	15	36	8038	26	0	3	4	0	6	235	19	470	4	9	3134	21	271	0	19	14	7	2	0	18	3	2	0	2	0	0	0	22	0	0	3	7	6	103	1904	0	197	22	3076	233	45	2	0	0	14	5911	0	46060	0	0	525	34	0	68	1712	2	0	17	0	168	2	0	0	0	0	7	0	0	0	0	360	0	0	500	0	0	7	0	7	3	425	473	0	0	14	3	3077	70	4	225	15	12	2341	378	22	9	9	9	3	17	4	14	0	42	0	164	13	7	130	14	0	0	0	1552	2932	113006	28987	323	23
020B	0	2	0	0	0	0	0	2	0	0	0	2	282	6	79	11	0	0	0	0	4430	792	146	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	2	2	0	0	0	0	20	32	0	0	4	271	0	26	0	0	0	0	0	0	11	0	0	0	10320	0	0	0	0	0	0	0	3552	582	20239	475	50	52085	934	14154	4031456	3636	485	70	7	0	0	2	198	1077	19476	0	0	0	0	0	0	2	8	0	0	1443	0	210	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	7	0	2	0	0	15	4264	0	227	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	234	0	0	214	0	6	0	0	12	0	203	261	0	0	0	0	2	17	0	0	21	0	22	18	0	0	0	0	0	0	0	7	0	9	0	0	0	0	5	0	0	0	0	0	4	8	0	0	0
