	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K03705	4813	11829	26225	39669	16967	4887	17975	9798	10252	21832	6600	3834	4996	27897	12618	8417	5983	6430	396	45417	9714	5974	32246	2463	3170	5899	12796	11035
K03706	2	1	1	1	1	375	1	54	2	610	4	3885	2	1382	5	5	2	4	179	2	5	3	5	1	1	1	1	1
K03707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
K03709	14	26	13	9	16	49	3	23	109	108	26	112	4	59	18	13	35	26	47	37	103	46	6	21	17	13	14	12
K03710	15055	3183	6050	5584	4296	199	1886	2301	3480	2858	1018	3023	886	5532	1393	1742	59	3481	76	10127	1511	1470	6164	1898	747	1218	1634	2742
K03711	148	26	37	3510	12	1843	24	5900	866	2427	12	878	19	1583	3155	1348	4190	4419	48	4001	5796	3561	152	24	1719	9	1088	9
K03712	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03713	1	3	1	3	1	3	1	1	9	1	5	3	1	1	1	1	1	3	225	1	1	6	16	1	30	4	18	13
K03718	0	0	0	0	0	7	0	0	8	22	0	9	0	30	0	0	0	0	0	0	9	6	0	0	0	0	2	0
K03719	139	21	40	2475	11	2718	20	7141	3542	5878	17	2066	14	2966	9076	2664	3757	11941	43	6077	10086	3939	129	22	3887	7	3360	10
K03720	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
K03721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
K03722	1298	2244	160	84	877	289	135	37	749	359	1493	31	969	147	38	57	3	38	44	11	34	5	205	780	4	913	320	1163
K03723	2474	2090	1549	1803	1817	793	978	1732	3928	1475	1134	1104	860	1186	1038	1067	1208	2246	91	1619	2924	1339	1170	848	955	876	568	815
K03724	1171	772	91	5	70	1	179	2	644	5	358	1	301	4	2	1	1	2	1	4	2	1	59	14	1	340	132	607
K03727	66	1	8	803	1	8	2	168	573	55	0	327	1	53	499	125	1	225	4	480	839	890	26	1	255	0	34	0
K03732	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
K03733	13718	224	743	2121	2170	885	739	2492	2795	3120	14	23876	24	233	6548	6886	18	8019	57	1938	27296	14713	2840	1965	11417	89	1220	146
K03734	3917	4558	255	71	946	7	194	9	983	3	2092	5	1346	2	6	6	6	3	6	5	5	5	389	1729	17	1239	218	1734
K03735	0	1	0	1	0	28	0	2	0	1	0	1	1	0	0	0	0	0	0	1	7	0	2	0	4	0	0	0
