Taxon	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S	total	color
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1124	147	144	6963	60	2160	55	16005	9855	8020	59	2813	62	3565	5099	1722	109	8446	23223	4052	15391	11047	370	87	528	14	878	18	122016	#FF9900
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Finegoldia	360	939	1011	1564	739	10548	189	6070	8862	18865	167	19777	336	8127	2367	6519	496	8253	99	4098	15494	3262	1745	389	52	13	472	15	120828	#993300
Bacteria;Firmicutes;Other;Other;Other;Other	740	1287	6197	14233	11405	10973	2864	10324	14751	9256	571	8979	1734	12933	4254	3483	514	8817	3741	13570	5796	4763	11529	2213	1404	455	1729	91	168606	#CCCC99
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	652	454	519	538	376	5631	195	17731	350	3457	110	10107	625	16414	533	1474	53	1217	51	710	26977	578	705	454	25	13	8808	26	98783	#666666
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Parvimonas	248	370	553	342	414	9853	184	1773	1065	7515	123	16844	321	7113	2067	2457	113	3370	201	4133	6940	2206	336	548	212	2	264	32	69599	#FFCC66
Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified	242	265	1873	3026	1815	16864	1142	2399	194	3652	88	3832	256	2790	1230	1992	58	4808	95	3235	2770	4373	2398	47	2774	83	1320	43	63664	#663366
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	426	308	1270	2025	1451	2477	618	2126	636	4494	447	16598	3379	12730	970	870	212	1124	97	2022	3383	847	2111	709	100	23	40	110	61603	#9999CC
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia	458	742	366	567	433	12443	406	1633	1349	1462	416	5420	4191	3617	1004	821	1070	4827	547	1678	2821	1385	602	402	155	203	719	227	49964	#CCCCCC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	868	2720	1007	1986	2304	717	1130	4206	1504	3373	1842	1401	2716	1770	1178	3282	272	1458	162	3151	2710	924	2509	1491	66	189	203	735	45874	#669999
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	1390	1378	553	415	783	1874	162	838	593	2164	1646	2057	1961	2473	5583	747	45	2107	74	415	1783	1478	854	2694	12	401	102	732	35314	#CCCC66
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	133	100	43	2008	37	3074	18	4329	1411	927	47	621	30	694	1071	369	14	3097	395	1672	3552	2337	152	88	239	4	2522	6	28990	#CC6600
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	464	983	577	553	487	1273	326	601	689	2607	714	2634	3072	3161	358	932	16	1102	39	715	1913	693	818	1112	14	75	20	172	26120	#9999FF
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	498	743	60	480	43	5286	28	1252	1720	967	319	1188	326	1738	2724	296	203	2118	54	1092	1718	1812	185	137	197	3	10	3	25200	#999966
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Other	12	272	146	549	54	1348	13	222	2236	2246	10	7550	37	2749	618	270	76	142	21	879	1290	418	65	17	112	12	215	1	21580	#99CCCC
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	260	71	83	667	41	1908	33	2089	1721	1100	34	1075	33	1050	658	138	67	808	235	1131	1874	1825	241	44	100	590	200	863	18939	#999999
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus	354	1329	327	419	185	658	165	340	98	1085	1608	2276	1257	1569	319	338	29	443	86	526	1496	1353	873	827	13	74	11	15	18073	#FFCC00
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum	2	21	10	13	5	8511	8	177	21	396	12	2745	19	2005	48	35	10	810	16	134	61	53	52	11	3	1	1	0	15180	#009999
