""	"014B"	"013A"	"009A"	"008B"	"008A"	"018B"	"017B"	"016B"	"013B"	"012B"	"012A"	"010A"	"006A"	"003A"	"006B"	"004B"	"002B"	"020B"	"001B"	"001A"	"010B"
"conditions"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"N"	"N"	"N"	"N"	"N"	"N"	"N"
"fructose"	"-6.531955493"	"-7.456867386"	"-8.335627335"	"-14.16411406"	"-14.04308041"	"-5.840479142"	"-8.518337342"	"-5.823928565"	"-14.35249324"	"-7.494134414"	"-7.042297791"	"-5.413290036"	"-14.4758811"	"-13.99080504"	"-10.82281102"	"-14.30420537"	"-14.34154608"	"-9.226244199"	"-9.319291118"	"-14.38513155"	"-8.916066332"
"unknown 2"	"-5.95117348"	"-13.93995871"	"-6.792555775"	"-6.2208019"	"-12.31776456"	"-4.706366337"	"-8.433051767"	"-4.297682948"	"-5.638673736"	"-6.03041619"	"-5.304568728"	"-5.015103872"	"-7.876290608"	"-12.26548919"	"-6.406176694"	"-7.983892855"	"-6.623139565"	"-10.23624402"	"-7.129356776"	"-7.267934613"	"-5.929708635"
"ribose 1"	"-5.465477717"	"-5.710762076"	"-5.280247148"	"-5.757796048"	"-5.891373178"	"-3.893871405"	"-4.309084604"	"-4.419009618"	"-4.863871528"	"-4.897907489"	"-4.885079729"	"-3.866471727"	"-10.16444504"	"-9.679368984"	"-4.637066018"	"-4.952939123"	"-4.478509171"	"-3.212002422"	"-9.70603752"	"-4.193233518"	"-6.545983056"
"galactopyranoside"	"-12.02235273"	"-13.2788618"	"-7.163116525"	"-6.011554908"	"-6.227939528"	"-6.372104632"	"-6.061267976"	"-11.91917653"	"-7.259860254"	"-12.2591897"	"-6.46123653"	"-12.33839573"	"-12.08946834"	"-11.60439228"	"-8.432828028"	"-6.704385038"	"-5.397795101"	"-6.545118253"	"-8.309132719"	"-7.842432753"	"-7.88074082"
"threonine"	"-6.410659159"	"-9.359056937"	"-5.835661987"	"-4.695989345"	"-12.50476076"	"-5.364785506"	"-6.159571619"	"-5.283269846"	"-6.406828325"	"-6.338117786"	"-5.527655969"	"-5.530701967"	"-12.93756144"	"-12.45248539"	"-4.200427614"	"-5.180531544"	"-4.543487722"	"-7.176377803"	"-2.902148755"	"-4.116699076"	"-3.619732227"
"urea"	"-10.52498266"	"-4.175143544"	"-10.68656114"	"-6.958403133"	"-4.852242652"	"-2.957856336"	"-1.861447107"	"-4.579689481"	"-2.227461774"	"-4.599460917"	"-11.72547825"	"-1.6419185"	"-10.59209827"	"-10.10702221"	"-1.748626294"	"-1.264350927"	"-10.45776325"	"-1.432903815"	"-5.035704534"	"-10.50134873"	"-2.871221087"
"glutamic acid"	"-3.009269853"	"-4.502211369"	"-3.32890823"	"-1.98156167"	"-5.763412949"	"-1.31689465"	"-0.906905511"	"-1.001827268"	"-1.162396339"	"-4.072450938"	"-3.45948017"	"-3.688302863"	"-9.518141731"	"-9.033065673"	"-0.99682055"	"-1.284258167"	"-2.829027493"	"-0.919583929"	"-0.753159061"	"-2.43376154"	"-0.647031215"
"stearic acid"	"-6.583697545"	"-8.815543746"	"-6.727209207"	"-5.846627804"	"-5.418754846"	"-6.175136883"	"-7.353001954"	"-6.170284736"	"-6.236109626"	"-6.484985076"	"-8.680700148"	"-6.688461241"	"-11.97628186"	"-11.4912058"	"-6.106594668"	"-6.254030089"	"-6.866782071"	"-7.467872578"	"-6.428361866"	"-7.427718692"	"-6.195496082"
"palmitic acid"	"-6.637082067"	"-10.66318984"	"-6.754239001"	"-6.002895567"	"-5.400173335"	"-6.325576135"	"-8.54282785"	"-6.308323802"	"-6.156071992"	"-6.662898761"	"-10.03519705"	"-6.865963505"	"-8.396491507"	"-8.147331796"	"-5.937832247"	"-6.120298871"	"-6.341877895"	"-8.54803604"	"-5.849782594"	"-6.688306583"	"-5.635577439"
"putrescine"	"-18.26075747"	"-19.51726654"	"-12.59301233"	"-14.69417794"	"-11.56696748"	"-11.04612565"	"-18.52935985"	"-9.323620163"	"-18.20448521"	"-18.49759443"	"-10.62861283"	"-10.89470581"	"-8.91454288"	"-17.84279702"	"-17.99673109"	"-18.15619734"	"-18.19353806"	"-10.93410179"	"-7.427237293"	"-18.23712353"	"-18.03133918"
"glyceric acid"	"-12.77719992"	"-7.522646102"	"-7.359936244"	"-12.53254849"	"-8.853704563"	"-7.54733245"	"-5.585378885"	"-6.747629094"	"-4.869857479"	"-6.810417467"	"-7.745689067"	"-5.758139691"	"-12.84431553"	"-12.35923947"	"-6.767685453"	"-6.472679236"	"-6.851160755"	"-6.447067082"	"-12.38590801"	"-8.68175126"	"-12.54778164"
"unknown 1"	"-8.137300428"	"-6.686215705"	"-6.757583068"	"-6.960863936"	"-7.341725374"	"-6.298267183"	"-3.245415524"	"-7.893225907"	"-5.729444273"	"-7.427638568"	"-6.709090121"	"-13.92264785"	"-13.67372045"	"-8.371435699"	"-9.422408196"	"-7.983678293"	"-9.227918851"	"-14.48132733"	"-8.180305156"	"-8.010665871"	"-7.940696826"
"proline"	"-9.239310521"	"-9.422474689"	"-11.93562746"	"-10.22972799"	"-15.89651746"	"-8.200781194"	"-5.750115446"	"-16.15902634"	"-9.002602427"	"-11.12802454"	"-10.41416347"	"-10.77773006"	"-11.50655515"	"-12.52231399"	"-11.00464508"	"-11.02038535"	"-16.19498313"	"-8.884838697"	"-9.91678094"	"-16.2385686"	"-10.62734733"
"leucine"	"-3.619277378"	"-6.237668571"	"-4.185313015"	"-4.251998916"	"-3.412955553"	"-5.978376446"	"-4.401266972"	"-4.310756269"	"-6.461187924"	"-5.435506413"	"-3.993594427"	"-4.271268487"	"-10.51258871"	"-6.003237818"	"-2.89625523"	"-4.512963518"	"-3.390263097"	"-11.32019559"	"-3.051847052"	"-4.751724945"	"-2.828599333"
