PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_turicensis	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_vaginae	BVAB1	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_vulgatus	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Brevibacterium_mcbrellneri	Campylobacter_fetus	Candidatus_Pelagibacter	Chlamydia_trachomatis	Chryseobacterium_gleum	Clostridiales_Family	Clostridium_difficile	Clostridium_sp.	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_diphtheriae	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Eggerthella_sp.	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Fusobacterium_ulcerans	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Johnsonella_ignava	Jonquetella_anthropi	Klebsiella_oxytoca	Lactobacillus_acidophilus	Lactobacillus_amylolyticus	Lactobacillus_amylovorus	Lactobacillus_antri	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Paracoccus_denitrificans	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Rothia_mucilaginosa	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_infantarius	Streptococcus_macacae	Streptococcus_massiliensis	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_wadsworthensis	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
ERR2014364	1	0	12	0	0	7	0	2	4	0	1	0	32	125	17	683	0	19	1	5027	1235	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	57	0	0	0	0	0	0	0	1	0	1	4	45	140	1	0	0	4	3	0	5	0	0	1	5	0	3	101	14	6	1	0	13445	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	4	0	1257	3	12	0	0	0	0	1	2	0	0	0	0	0	1590	0	0	590	79	156	0	153	3117	0	14	0	0	0	0	2	0	0	3	13	0	0	11	102	940	1	1345	4	1588	654	2	11	0	250	189	10	456	0	2	546	44	2	31	1664	0	2	0	0	32	1	1	0	1	5	25	3	10	0	238	1	2	3067	0	1	1	0	0	236	0	1067	1059	0	0	0	5	0	0	0	8	15	0	1	1	0	0	0	1	0	0	4	0	6	3	0	0	0	1	0	0	1	0	9	25	0	0	0	2
ERR2014365	1	0	0	0	0	6	0	3	16	0	2	0	21	454	15	1383	0	1	12	5295	1231	2	2	0	0	1	0	0	0	2	0	0	0	0	0	0	47	0	4	0	0	0	0	0	0	0	0	3	70	179	1	0	0	4	4	4	1	0	0	0	12	1	4	74	10	7	0	0	12056	1	0	0	0	0	1	0	0	0	0	0	0	101	0	0	7	1	1989	4	12	1	0	0	0	1	1	0	0	0	0	1	234	2	0	747	74	228	0	616	2883	0	9	0	0	1	3	2	0	0	12	12	0	0	20	257	925	4	1503	21	1732	74	5	462	1	2129	2321	56	254	2	1	1528	1817	0	70	1901	3	3	3	0	24	2	0	1	1	8	47	6	15	3	399	1	8	2972	1	0	1	0	0	228	0	997	1034	0	0	0	0	0	0	0	5	12	0	1	2	0	0	0	0	0	0	0	0	18	0	0	0	0	6	0	805	1	1	0	0	0	0	2	1
ERR2014366	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	12	0	0	0	21	16	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	5	1	17	0	0	0	2	0	3	3	1	0	0	1	181	15	0	0	0	0	0	0	1	0	0	1	1	911	1	11	1450	20	3189	23	26	5	27	0	497	2	15	0	0	0	0	0	8	0	0	10	0	1	0	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	1	7	2	0	0	0	1	2	1	116	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	0	0	0	0	0	2	0	25	3	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	2	3	0	0	2	0	52	0	0	1	18	0	0	0	0	0	0	0	0	0
ERR2014367	0	0	0	0	0	6	0	2	0	0	4	0	31	47	32	1944	0	2	29	4729	62	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	54	0	3	0	0	0	0	0	0	0	0	1	68	168	2	0	0	4	3	2	1	0	0	2	8	1	0	1867	15	6	0	0	13117	1	0	0	0	0	3	0	4	0	0	0	0	1044	1	0	1419	4	2992	32	55	5	0	0	1	4	1	0	0	0	1	1	658	1	0	666	78	206	0	2	4	0	855	1	0	1	1	1	2	0	6	14	3	0	9	51	1789	2	84	7	1744	63	5	1	0	7	343	78	2135	0	12	228	31	1	49	170	2	11	2	0	29	6	0	0	1	4	13	3	13	1	1625	1	4	3214	1	0	0	0	0	5	0	1040	77	1	0	0	0	0	0	0	5	10	1	2	2	0	0	0	1	1	0	0	0	14	1	0	0	0	5	0	0	0	2	19	39	0	0	0	2
ERR2014368	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	8	0	0	2	246	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	2	4	1	12	0	0	0	2	0	2	5	1	3	0	1	2791	0	0	0	0	0	0	0	7	0	0	0	1	188	1	1	2146	5	3207	171	87	5	0	0	2	2	3	0	0	0	0	0	11	0	0	321	0	109	0	1	1	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	5	1	3	4	0	0	0	0	4	0	122	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	9	0	0	31	0	1	0	0	0	3	1	54	20	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	39	44	0	0	0	0
ERR2014369	0	0	0	0	0	0	1	2	0	0	0	0	128	37	58	205	0	1	1	30	14	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	8	0	2	0	0	0	0	0	0	5	0	0	5	12	1	0	0	22	0	1	5	0	0	0	2	0	0	493	1	2	0	1	2791	646	0	24	156	0	0	0	8	0	0	1	779	1429	1	357	517	9	3464	3033	21	6	34	1	485	8	263	3	1	0	2	4	11	6	0	7	2	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	5	2	0	9	79	0	3	0	783	12	2	0	0	1	4	0	137	0	0	1	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	14	0	1	0	0	4	1	0	9	0	0	20	1	1156	113	16	6	917	24	9	0	4	6	0	1	0	22	32	2	1	2	0	193	2	5	85	35	0	0	0	160	188	162	39	2	0
ERR2014370	2	0	1	0	0	4	0	3	2	0	1	0	12	47	7	398	0	1	0	4617	1179	0	0	0	0	0	0	0	9	4	2	1	0	0	0	0	183	0	3	1	1	0	0	0	0	0	1	2	26	70	2	0	0	3	1	1	9	0	0	0	7	1	0	60	12	12	0	0	10360	1	0	0	0	0	2	0	0	0	0	0	0	13	0	0	7	0	2586	11	9	0	0	0	0	1	3	0	0	0	0	0	232	1	0	685	71	217	0	14	1180	0	262	1	0	1	0	0	0	0	1	12	0	0	10	131	594	0	237	3	75	18	2	6	0	93	103	22	161	0	2	154	299	0	23	57	1	1	0	0	10	1	5	1	1	0	3	0	8	2	94	0	0	2604	0	2	0	0	0	237	0	1028	1016	0	0	0	2	0	0	0	6	7	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ERR2014371	1	0	0	0	0	4	0	2	27	68	2	0	23	53	12	1068	0	4	0	5036	1179	0	0	0	0	0	1	0	21	1	2	0	0	0	0	0	68	0	4	0	0	0	0	1	0	0	0	1	46	113	1	0	0	1	0	2	3	0	0	0	1	1	0	87	12	3	0	0	11524	1	0	0	0	0	3	0	0	0	0	0	0	11	0	0	22	0	2032	9	9	0	0	0	0	1	1	0	0	1	1	0	250	1	0	693	73	213	0	2	596	0	20	1	0	1	0	0	0	0	3	13	0	0	9	185	444	1	451	4	1638	53	5	54	1	1178	164	38	290	1	4	212	236	0	51	113	0	2	2	0	27	1	6	1	1	1	16	1	14	2	139	0	2	2997	0	0	2	0	0	243	0	1041	1079	0	0	0	0	0	0	0	6	5	0	3	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERR2014372	1	0	0	4	0	4	0	0	1	16	4	0	49	418	24	1507	0	2	2	4152	242	0	0	0	1	0	2	0	1	6	1	0	0	0	0	0	60	0	1	0	0	0	0	0	0	0	1	5	103	146	0	3	0	3	5	2	1	0	4	0	9	1	1	993	2	4	0	1	13424	0	0	2	0	0	0	0	1	0	0	0	0	50	1	0	5	0	2669	15	12	0	0	0	0	0	2	0	0	0	0	1	60	1	0	561	3	100	0	11	24	0	3	0	0	1	2	1	2	0	2	0	1	0	15	1254	1395	0	1245	18	30	24	1	58	2	1190	156	30	1762	0	0	240	49	2	68	141	5	2	0	0	1438	1	1	0	1	0	11	5	7	4	839	0	7	2274	2	0	0	0	0	9	0	56	18	0	0	0	1	0	0	0	8	32	0	1	1	0	0	0	0	0	0	0	0	14	2	0	0	0	3	0	0	0	2	46	60	0	0	1	1
ERR2014373	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	54	75	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	1	0	0	4	0	0	0	0	758	0	0	0	0	0	0	0	8	0	0	0	29	50	1	4	2124	8	3009	44	69	1	4	0	0	2	327	2	0	0	0	0	15	0	0	6	0	2	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	1	0	0	0	0	8	0	2	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	10	0	15	5	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	42	42	0	0	0	0
