gene	geneCountCategory
V1342924	HGC
V1422497	HGC
V1177462	HGC
V1013090	HGC
V1414120	HGC
V1109609	HGC
V1154487	HGC
V1728013	HGC
V1067278	HGC
V1322633	HGC
V1347263	HGC
V1788382	HGC
V1007084	HGC
V1066144	HGC
V1066910	HGC
V1235967	HGC
V1375517	HGC
V1074313	HGC
V1292722	HGC
V1237635	HGC
V1574482	HGC
V1087475	HGC
V1007060	HGC
V1013092	HGC
V1200593	HGC
V1066925	HGC
V1068038	HGC
V1160682	HGC
V1047883	HGC
V1074835	HGC
V1068297	HGC
V1200606	HGC
V1043372	HGC
V1067937	HGC
V1067558	HGC
V1065438	HGC
V1066645	HGC
V1066648	HGC
V1065869	HGC
V1065539	HGC
V1065433	HGC
V1393635	HGC
V1386949	HGC
V1066640	HGC
V1553939	HGC
V1341867	HGC
V1254663	HGC
V1067099	HGC
V1067559	HGC
V1612758	HGC
V1065536	HGC
V1069093	HGC
V1557734	HGC
V1078460	HGC
V1368484	HGC
V1560688	HGC
V1883587	HGC
V1066664	HGC
V1612637	HGC
V1363555	HGC
V1839575	HGC
V1235913	HGC
V1067955	HGC
V1190192	HGC
V1161610	HGC
V1382261	HGC
V1553886	HGC
V1295411	HGC
V1066585	HGC
V1010072	HGC
V1525296	HGC
V1190195	HGC
V1585494	HGC
V1157905	HGC
V1524769	HGC
V1067114	HGC
V1067088	HGC
V1042097	HGC
V1237629	HGC
V1463976	HGC
V1436794	HGC
V1014360	HGC
V1049897	HGC
V1013652	HGC
V1065506	HGC
V1159100	HGC
V1067801	HGC
V1190145	HGC
V1420994	HGC
V1070848	HGC
V1065923	HGC
V1011471	HGC
V1268218	HGC
V1367103	HGC
V1522831	HGC
V1516671	HGC
V1017113	HGC
V1065938	HGC
V1367500	HGC
V1067579	HGC
V1190266	HGC
V1103096	HGC
V1373610	HGC
V1139748	HGC
V1111738	HGC
V1379917	HGC
V1065454	HGC
V1068288	HGC
V1357591	HGC
V1007076	HGC
V1247424	HGC
V1065580	HGC
V1015220	HGC
V1357096	HGC
V1349964	HGC
V1068964	HGC
V1068470	HGC
V1066655	HGC
