gene	geneCountCategory
V1882239	LGC
V1886005	LGC
V1828860	LGC
V1886198	LGC
V1552800	LGC
V1880007	LGC
V1884575	LGC
V1338859	LGC
V1886313	LGC
V1884825	LGC
V1883305	LGC
V1883121	LGC
V1883385	LGC
V1034179	LGC
V1886314	LGC
V1552772	LGC
V1033375	LGC
V1882237	LGC
V1882317	LGC
V1424786	HGC
V1884638	LGC
V1872749	LGC
V1882253	LGC
V1883366	LGC
V1891261	LGC
V1755541	LGC
V1033614	LGC
V1883370	LGC
V1884626	LGC
V1884310	LGC
V1032822	LGC
V1389104	LGC
V1884634	LGC
V1101490	LGC
V1884563	LGC
V1884621	LGC
V1883164	LGC
V1552798	LGC
V1423402	HGC
V1033302	HGC
V1882220	LGC
V1336009	LGC
V1033691	HGC
V1886358	LGC
V1162954	LGC
V1886235	LGC
V1886310	LGC
V1883355	LGC
V1389024	LGC
V1891253	LGC
V1886316	LGC
V1884518	LGC
V1389855	LGC
V1884583	LGC
V1883153	LGC
V1884526	LGC
V1886315	LGC
V1891247	LGC
V1882328	LGC
V1882160	LGC
V1879922	LGC
V1884647	LGC
V1143512	LGC
V1882315	LGC
V1202532	HGC
V1162941	LGC
V1882316	LGC
V1237153	HGC
V1880900	LGC
V1204467	LGC
V1883115	LGC
V1887199	LGC
V1886055	LGC
V1886289	LGC
V1884616	LGC
V1891105	LGC
V1891298	LGC
V1886311	LGC
V1398941	LGC
V1684134	LGC
V1882956	LGC
V1882372	LGC
V1882359	LGC
V1883213	LGC
V1047301	LGC
V1884640	LGC
V1879977	LGC
V1891162	LGC
V1149291	LGC
V1883107	LGC
V1884636	LGC
V1880092	LGC
V1884241	LGC
V1884522	LGC
V1882361	LGC
V1047214	LGC
V1884803	LGC
V1885122	LGC
V1884560	LGC
V1047077	LGC
V1204448	LGC
V1891199	LGC
V1497925	HGC
V1886203	LGC
V1884601	LGC
V1162999	LGC
V1552804	LGC
V1388945	LGC
V1034282	LGC
V1882325	LGC
V1799411	HGC
V1552815	LGC
V1887157	LGC
V1162928	LGC
V1828816	LGC
V1883158	LGC
V1887156	LGC
V1336041	LGC
V1807920	LGC
V1880919	LGC
V1213496	HGC
V1163706	LGC
V1034274	LGC
V1886224	LGC
V1221890	HGC
V1423860	HGC
V1034382	LGC
V1880091	LGC
V1884648	LGC
V1882343	LGC
V1884298	LGC
V1202852	HGC
V1884529	LGC
V1883050	LGC
V1446961	LGC
V1884487	LGC
V1886210	LGC
V1879976	LGC
V1886124	LGC
V1886180	LGC
V1047280	LGC
V1883165	LGC
V1163740	LGC
V1886291	LGC
V1883149	LGC
V1890844	LGC
V1882174	LGC
V1882943	LGC
V1755515	LGC
V1882300	LGC
V1755586	LGC
V1884284	LGC
V1204432	LGC
V1880912	LGC
V1149066	LGC
V1213966	HGC
V1882181	LGC
V1047098	LGC
V1034269	LGC
V1891193	LGC
V1884534	LGC
V1033775	LGC
V1884597	LGC
V1150389	LGC
V1886288	LGC
V1237160	HGC
V1882064	LGC
V1684176	LGC
V1884806	LGC
V1883193	LGC
V1885060	LGC
V1886229	LGC
V1872742	LGC
V1884240	LGC
V1882886	LGC
V1882208	LGC
V1883203	LGC
V1163750	LGC
V1202615	HGC
V1886183	LGC
V1883116	LGC
V1163779	LGC
V1884579	LGC
V1383695	HGC
V1884294	LGC
V1884535	LGC
V1366239	LGC
V1891200	LGC
V1884865	LGC
V1150763	LGC
V1884645	LGC
V1891144	LGC
V1608827	LGC
V1886139	LGC
V1684182	LGC
V1884675	LGC
V1883323	LGC
V1204507	LGC
V1608732	LGC
V1163115	LGC
V1423397	HGC
V1891150	LGC
V1884510	LGC
V1891160	LGC
V1884819	LGC
V1883249	LGC
V1884785	LGC
V1884719	LGC
V1034228	LGC
V1886063	LGC
V1891243	LGC
V1598604	LGC
V1884566	LGC
V1047378	LGC
V1880067	LGC
V1608681	LGC
V1882378	LGC
V1884291	LGC
V1884541	LGC
V1891255	LGC
V1884609	LGC
V1143225	LGC
V1199360	LGC
V1884485	LGC
V1886232	LGC
V1886347	LGC
V1883387	LGC
V1884629	LGC
V1336042	LGC
V1034245	HGC
V1887330	LGC
V1615920	LGC
V1884623	LGC
V1880904	LGC
V1552829	LGC
V1202803	HGC
V1882933	LGC
V1887154	LGC
V1808173	LGC
V1552713	LGC
V1684149	LGC
V1884561	LGC
V1608727	LGC
V1886333	LGC
V1884517	LGC
V1882278	LGC
V1884494	LGC
V1886344	LGC
V1828718	LGC
V1891158	LGC
V1883295	LGC
V1886954	LGC
V1163177	LGC
V1886197	LGC
V1614838	HGC
V1204418	LGC
V1883392	LGC
V1884603	LGC
V1884696	LGC
V1884245	LGC
V1882381	LGC
V1882400	LGC
V1684101	LGC
V1886285	LGC
V1886960	LGC
V1203120	HGC
V1388966	LGC
V1884681	LGC
V1886277	LGC
V1808244	LGC
V1891192	LGC
V1891413	LGC
V1828805	LGC
V1886332	LGC
V1884624	LGC
V1047411	LGC
V1884798	LGC
V1890888	LGC
V1891344	LGC
V1684184	LGC
V1880094	LGC
V1388961	LGC
V1446913	LGC
V1880127	LGC
V1882398	LGC
V1882921	LGC
V1163027	LGC
V1001513	LGC
V1886319	LGC
V1883312	LGC
V1883205	LGC
V1552792	LGC
V1808213	LGC
V1886172	LGC
V1150388	LGC
V1883302	LGC
V1886348	LGC
V1886216	LGC
V1890869	LGC
V1808174	LGC
V1884889	LGC
V1884595	LGC
V1164185	LGC
V1886305	LGC
V1608711	LGC
V1884692	LGC
V1886373	LGC
V1886230	LGC
V1891152	LGC
V1882241	LGC
V1885080	LGC
V1884486	LGC
V1884587	LGC
V1101530	LGC
V1884880	LGC
V1033654	LGC
V1033718	LGC
V1204473	LGC
V1890911	LGC
V1883389	LGC
V1598199	HGC
V1891235	LGC
V1608684	LGC
V1885076	LGC
V1886019	LGC
V1883100	LGC
V1886195	LGC
V1883296	LGC
V1204401	LGC
V1891145	LGC
V1883329	LGC
V1885117	LGC
V1886021	LGC
V1886264	LGC
V1882898	LGC
V1886292	LGC
V1891181	LGC
V1547375	LGC
V1886317	LGC
V1885051	LGC
V1884631	LGC
V1891164	LGC
V1225501	HGC
V1163037	LGC
V1880059	LGC
V1886113	LGC
V1828754	LGC
V1884716	LGC
V1882929	LGC
V1047266	LGC
V1424924	HGC
V1886247	LGC
V1591707	LGC
V1891207	LGC
V1808209	HGC
V1883299	LGC
V1884490	LGC
V1884577	LGC
V1883241	LGC
V1890909	LGC
V1884873	LGC
V1880079	LGC
V1388944	LGC
V1880862	LGC
V1883167	LGC
V1338894	LGC
V1684196	LGC
V1886353	LGC
V1880005	LGC
V1755528	LGC
V1884267	LGC
V1503149	LGC
V1891128	LGC
V1880096	LGC
V1237277	HGC
V1882225	LGC
V1884582	LGC
V1891114	LGC
V1884610	LGC
V1883393	LGC
V1034114	LGC
V1150703	LGC
V1884654	LGC
V1388984	LGC
V1300693	LGC
V1884546	LGC
V1886083	LGC
V1886098	LGC
V1884600	LGC
V1885047	LGC
V1891163	LGC
V1163200	LGC
V1143257	LGC
V1424932	HGC
V1884807	LGC
V1033534	LGC
V1148960	LGC
V1163698	LGC
V1580855	LGC
V1047017	LGC
V1163261	LGC
V1807931	LGC
V1884581	LGC
V1150377	LGC
V1684084	LGC
V1884783	LGC
V1143237	LGC
V1880026	LGC
V1883128	LGC
V1882934	LGC
V1884308	LGC
V1203078	HGC
V1203284	HGC
V1213718	HGC
V1203091	HGC
V1884531	LGC
V1883294	LGC
V1891143	LGC
V1163634	LGC
V1610073	LGC
V1884620	LGC
V1163776	LGC
V1883188	LGC
V1884608	LGC
V1890904	LGC
V1424956	HGC
V1883244	LGC
V1890891	LGC
V1886191	LGC
V1884683	LGC
V1202898	HGC
V1828717	LGC
V1047138	LGC
V1290505	LGC
V1884545	LGC
V1886015	LGC
V1886148	LGC
V1884649	LGC
V1886211	LGC
V1891198	LGC
V1213457	HGC
V1492831	HGC
V1891110	LGC
V1884814	LGC
V1808018	LGC
V1886120	LGC
V1890903	LGC
V1891154	LGC
V1891365	LGC
V1882946	LGC
V1883310	LGC
V1884782	LGC
V1883304	LGC
V1143239	LGC
V1891248	LGC
V1213026	HGC
V1882911	LGC
V1884268	LGC
V1891122	LGC
V1884500	LGC
V1162565	LGC
V1884498	LGC
V1884604	LGC
V1884646	LGC
V1882927	LGC
V1886047	LGC
V1886090	LGC
V1886142	LGC
V1886360	LGC
V1201295	HGC
V1302845	LGC
V1764732	LGC
V1886282	LGC
V1891366	LGC
V1882167	LGC
V1200536	HGC
V1203999	HGC
V1210612	LGC
V1598371	LGC
V1608703	LGC
V1890859	LGC
V1882327	LGC
V1886242	LGC
V1608685	LGC
V1610070	LGC
V1886970	LGC
V1202802	HGC
V1223639	HGC
V1388996	LGC
V1034351	LGC
V1162994	LGC
V1886194	LGC
V1886297	LGC
V1149071	LGC
V1164458	LGC
V1608691	LGC
V1886293	LGC
V1886250	LGC
V1388982	LGC
V1547357	LGC
V1886062	LGC
V1886309	LGC
V1398755	LGC
V1163641	LGC
V1163083	LGC
V1163452	LGC
V1891205	LGC
V1425736	HGC
V1883106	LGC
V1883214	LGC
V1884639	LGC
V1891098	LGC
V1163093	LGC
V1883168	LGC
V1336051	LGC
V1446922	LGC
V1425419	HGC
V1884818	LGC
V1886369	LGC
V1891142	LGC
V1891214	LGC
V1879997	LGC
V1887308	LGC
V1033714	LGC
V1204096	HGC
V1755543	LGC
V1819409	LGC
V1883109	LGC
V1890906	LGC
V1033509	LGC
V1552770	LGC
V1882855	LGC
V1882957	LGC
V1202123	HGC
V1808054	LGC
V1884527	LGC
V1891156	LGC
V1452376	HGC
V1882914	LGC
V1884290	LGC
V1891249	LGC
V1338904	LGC
V1828806	LGC
V1882928	LGC
V1883110	LGC
V1886284	LGC
V1890893	LGC
V1202750	HGC
V1047131	LGC
V1755549	LGC
V1883381	LGC
V1884674	LGC
V1885053	LGC
V1886295	LGC
V1891216	LGC
V1883182	LGC
V1884606	LGC
V1885130	LGC
V1887057	LGC
V1388957	LGC
V1884480	LGC
V1884593	LGC
V1149016	LGC
V1204492	LGC
V1885120	LGC
V1891251	LGC
V1607305	LGC
V1882329	LGC
V1199404	LGC
V1884516	LGC
V1163825	LGC
V1202585	HGC
V1882859	LGC
V1883311	LGC
V1884523	LGC
V1203391	HGC
V1389025	LGC
V1884868	LGC
V1143216	LGC
V1388998	LGC
V1882856	LGC
V1887282	LGC
V1047305	LGC
V1149021	LGC
V1163127	LGC
V1615108	LGC
V1808693	HGC
V1891132	LGC
V1163838	LGC
V1880902	LGC
V1890877	LGC
V1149355	LGC
V1882215	LGC
V1886009	LGC
V1339026	LGC
V1202641	HGC
V1323474	HGC
V1458202	HGC
V1884232	LGC
V1884607	LGC
V1886107	LGC
V1143185	LGC
V1163938	LGC
V1164312	LGC
V1214522	HGC
V1388999	LGC
V1880911	LGC
V1882334	LGC
V1887212	LGC
V1883246	LGC
V1890908	LGC
V1882940	LGC
V1886263	LGC
V1891141	LGC
V1884309	LGC
V1163633	LGC
V1212545	HGC
V1389007	LGC
V1883166	LGC
V1884572	LGC
V1047309	LGC
V1388964	LGC
V1886123	LGC
V1886262	LGC
V1886959	LGC
V1884659	LGC
V1884890	LGC
V1886273	LGC
V1202534	HGC
V1684099	LGC
V1884285	LGC
V1886249	LGC
V1162981	LGC
V1164166	LGC
V1886048	LGC
V1886065	LGC
V1891260	LGC
V1891296	LGC
V1163746	LGC
V1424934	HGC
V1598242	LGC
V1755595	LGC
V1886254	LGC
V1453879	HGC
V1204340	LGC
V1882065	LGC
V1891140	LGC
V1423733	HGC
V1880872	LGC
V1883297	LGC
V1886225	LGC
V1886265	LGC
V1033508	LGC
V1882941	LGC
V1163202	LGC
V1164011	LGC
V1200784	HGC
V1886201	LGC
V1887319	LGC
V1879978	LGC
V1163730	LGC
V1204449	LGC
V1323561	HGC
V1808000	LGC
V1808267	LGC
V1872701	LGC
V1884496	LGC
V1886158	LGC
V1886334	LGC
V1891073	LGC
V1891224	LGC
V1143195	LGC
V1552836	LGC
V1828861	LGC
V1882867	LGC
V1883157	LGC
V1300553	LGC
V1882881	LGC
V1884483	LGC
V1884652	LGC
V1886342	LGC
V1891167	LGC
V1164155	LGC
V1481298	LGC
V1890905	LGC
V1143218	LGC
V1884383	LGC
V1891149	LGC
V1388969	LGC
V1610110	LGC
V1884810	LGC
V1884893	LGC
V1101253	LGC
V1424071	HGC
V1596798	HGC
V1884477	LGC
V1884709	LGC
V1033655	LGC
V1163106	LGC
V1339074	LGC
V1884502	LGC
V1884504	LGC
V1608695	LGC
V1886168	LGC
V1891108	LGC
V1891133	LGC
V1891244	LGC
V1204445	LGC
V1808012	LGC
V1872703	LGC
V1886175	LGC
V1047295	LGC
V1884249	LGC
V1884808	LGC
V1891118	LGC
V1891159	LGC
V1796873	LGC
V1883147	LGC
V1886363	LGC
V1163126	LGC
V1882150	LGC
V1882375	LGC
V1883136	LGC
V1884410	LGC
V1884643	LGC
V1886013	LGC
V1388990	LGC
V1424058	HGC
V1828830	LGC
V1872682	HGC
V1880098	LGC
V1880845	LGC
V1882333	LGC
V1886037	LGC
V1886290	LGC
V1886312	LGC
V1886330	LGC
V1891177	LGC
V1608692	LGC
V1882897	LGC
V1883181	LGC
V1891115	LGC
V1162911	LGC
V1684096	LGC
V1880881	LGC
V1884839	LGC
V1890907	LGC
V1423767	HGC
V1884578	LGC
V1884821	LGC
V1886200	LGC
V1886209	LGC
V1101248	LGC
V1884872	LGC
V1886121	LGC
V1164043	LGC
V1884488	LGC
V1884871	LGC
V1886020	LGC
V1886049	LGC
V1047323	LGC
V1206518	LGC
V1880908	LGC
V1883303	LGC
V1884602	LGC
V1033823	LGC
V1388967	LGC
V1884633	LGC
V1886177	LGC
V1886321	LGC
V1202892	HGC
V1884544	LGC
V1884615	LGC
V1891153	LGC
