gene	geneCountCategory
V1177462	HGC
V1436641	HGC
V1728013	HGC
V1422497	HGC
V1337358	LGC
V1051831	HGC
V1013092	HGC
V1008929	HGC
V1011843	HGC
V1394159	HGC
V1385524	HGC
V1414120	HGC
V1010320	HGC
V1012818	HGC
V1007211	HGC
V1884213	HGC
V1368901	HGC
V1008596	HGC
V1322633	HGC
V1153964	HGC
V1013090	HGC
V1574482	HGC
V1016060	HGC
V1238174	HGC
V1037377	HGC
V1265029	HGC
V1039802	HGC
V1038350	HGC
V1553663	HGC
V1016999	HGC
V1396662	HGC
V1265617	HGC
V1019516	HGC
V1050217	HGC
V1006747	HGC
V1010034	HGC
V1367500	HGC
V1015150	HGC
V1008255	HGC
V1007873	HGC
V1051020	HGC
V1037878	HGC
V1053780	HGC
V1010370	HGC
V1007060	HGC
V1011840	HGC
V1884198	HGC
V1175702	HGC
V1015667	HGC
V1017823	HGC
V1154539	HGC
V1436794	HGC
V1008595	HGC
V1008438	HGC
V1009119	HGC
V1018397	HGC
V1201637	HGC
V1181936	HGC
V1013741	HGC
V1008256	HGC
V1562682	HGC
V1157905	HGC
V1374012	HGC
V1013751	HGC
V1355617	HGC
V1139691	HGC
V1394807	HGC
V1015255	HGC
V1151823	HGC
V1620794	HGC
V1431232	HGC
V1357096	HGC
V1006746	HGC
V1197020	HGC
V1006634	HGC
V1513559	LGC
V1007076	HGC
V1013250	HGC
V1053544	HGC
V1010605	HGC
V1185257	HGC
V1358470	HGC
V1006749	HGC
V1265462	HGC
V1201308	HGC
V1484064	LGC
V1102817	HGC
V1011041	HGC
V1011842	HGC
V1171053	HGC
V1015867	HGC
V1008252	HGC
V1011839	HGC
V1037443	HGC
V1192184	HGC
V1254663	HGC
V1006748	HGC
V1012379	HGC
V1049092	HGC
V1017148	HGC
V1141150	HGC
V1012527	HGC
V1241050	HGC
V1015868	HGC
V1145959	HGC
V1564708	HGC
V1496913	HGC
V1155973	HGC
V1397237	HGC
V1010716	HGC
V1006685	HGC
V1010431	HGC
V1074835	HGC
V1200610	HGC
V1014517	HGC
V1199914	HGC
V1017370	HGC
V1139410	HGC
V1375517	HGC
V1140670	HGC
V1201618	HGC
V1155393	HGC
V1016891	HGC
V1460299	HGC
V1042097	HGC
V1013736	HGC
V1366998	HGC
V1107292	HGC
V1012671	HGC
V1008740	HGC
V1012356	HGC
V1007888	HGC
V1054752	HGC
V1238012	HGC
V1013737	HGC
V1588398	HGC
V1011014	HGC
V1140336	HGC
V1040344	HGC
V1108928	HGC
V1012211	HGC
V1398523	HGC
V1464177	HGC
V1265420	HGC
V1012820	HGC
V1490442	HGC
V1009707	HGC
V1121567	HGC
V1011836	HGC
V1048870	HGC
V1037868	HGC
V1574627	HGC
V1010067	HGC
V1085154	HGC
V1022782	HGC
V1008253	HGC
V1109151	HGC
V1023795	HGC
V1265417	HGC
V1008574	HGC
V1006674	HGC
V1013740	HGC
V1166828	HGC
V1011016	HGC
V1266145	HGC
V1008707	HGC
V1018464	HGC
V1173676	HGC
V1366835	HGC
V1171816	HGC
V1265582	HGC
V1145382	HGC
V1139580	HGC
V1368199	HGC
V1012921	HGC
V1880220	LGC
V1283274	HGC
V1015866	HGC
V1017894	HGC
V1013667	HGC
V1013735	HGC
V1006798	HGC
V1012925	HGC
V1010069	HGC
V1007084	HGC
V1142964	HGC
V1051284	HGC
V1048871	HGC
V1052940	HGC
V1016291	HGC
V1380987	HGC
V1526792	HGC
V1008589	HGC
V1183252	HGC
V1011838	HGC
V1039101	HGC
V1017369	HGC
V1827939	HGC
V1015637	HGC
V1553636	HGC
V1375437	HGC
V1141291	HGC
V1367838	HGC
V1884209	HGC
V1010292	HGC
V1265304	HGC
V1011929	HGC
V1014696	HGC
V1103115	HGC
V1013739	HGC
V1140341	HGC
V1039764	HGC
V1139904	HGC
V1561757	HGC
V1330982	HGC
V1009368	HGC
V1108186	HGC
V1009617	HGC
V1011841	HGC
V1013745	HGC
V1102145	HGC
V1015296	HGC
V1007133	HGC
V1008251	HGC
V1154707	HGC
V1013091	HGC
V1012672	HGC
V1011347	HGC
V1013747	HGC
V1006672	HGC
V1016079	HGC
V1014932	HGC
V1345614	HGC
V1139821	HGC
V1139685	HGC
V1049300	HGC
V1015220	HGC
V1487645	HGC
V1011483	HGC
V1400258	HGC
V1141223	HGC
V1488682	HGC
V1549656	HGC
V1016890	HGC
V1594514	HGC
V1460737	HGC
V1154272	HGC
V1144908	HGC
V1009391	HGC
V1015151	HGC
V1010287	HGC
V1009873	HGC
V1526309	HGC
V1503686	HGC
V1010543	HGC
V1011045	HGC
V1367869	HGC
V1265662	HGC
V1011015	HGC
V1013127	HGC
V1367293	HGC
V1008086	HGC
V1463861	HGC
V1144615	HGC
V1047883	HGC
V1013130	HGC
V1039856	HGC
V1105335	HGC
V1010358	HGC
V1181275	HGC
V1011582	HGC
V1103096	HGC
V1016102	HGC
V1014360	HGC
V1011952	HGC
V1017147	HGC
V1566220	HGC
V1045063	HGC
V1183674	HGC
V1196255	HGC
V1488007	HGC
V1011628	HGC
V1011783	HGC
V1011651	HGC
V1153441	HGC
V1530479	HGC
V1012601	HGC
V1467629	HGC
V1006779	HGC
V1007073	HGC
V1014694	HGC
V1111563	HGC
V1009698	HGC
V1011471	HGC
V1075779	HGC
V1006670	HGC
V1380277	HGC
V1011252	HGC
V1411137	HGC
V1514797	HGC
V1011837	HGC
V1010826	HGC
V1013738	HGC
V1011255	HGC
V1102242	HGC
V1167012	HGC
V1236712	LGC
V1009387	HGC
V1266125	HGC
V1014358	HGC
V1102799	HGC
V1013129	HGC
V1388913	HGC
V1010897	HGC
V1250707	HGC
V1049508	HGC
V1006680	HGC
V1013752	HGC
V1139748	HGC
V1006657	HGC
V1530442	HGC
V1011930	HGC
V1553749	HGC
V1008447	HGC
V1008732	HGC
V1442734	HGC
V1384369	LGC
V1013080	HGC
V1010293	HGC
V1070848	HGC
V1016421	HGC
V1020523	HGC
V1619477	HGC
V1120144	HGC
V1107455	HGC
V1020008	HGC
V1154952	HGC
V1267672	HGC
V1012677	HGC
V1049970	HGC
V1139605	HGC
V1411084	HGC
V1102240	HGC
V1156648	HGC
V1008108	HGC
V1313175	HGC
V1049974	HGC
V1557302	HGC
V1010432	HGC
V1411952	HGC
V1006668	HGC
V1014693	HGC
V1051482	HGC
V1368486	HGC
V1007241	HGC
V1138974	HGC
V1051375	HGC
V1154407	HGC
V1102518	HGC
V1383824	LGC
V1140021	HGC
