gene	geneCountCategory
V1177462	HGC
V1039094	HGC
V1405017	HGC
V1342924	HGC
V1594594	HGC
V1728013	HGC
V1074313	HGC
V1007844	HGC
V1421347	HGC
V1604062	HGC
V1574482	HGC
V1067937	HGC
V1190199	HGC
V1881261	HGC
V1010451	HGC
V1110058	HGC
V1414120	HGC
V1200593	HGC
V1422497	HGC
V1396428	HGC
V1105638	HGC
V1014561	HGC
V1294607	HGC
V1268218	HGC
V1121000	HGC
V1013092	HGC
V1394990	HGC
V1322633	HGC
V1235967	HGC
V1013090	HGC
V1583622	HGC
V1190195	HGC
V1066910	HGC
V1567778	HGC
V1506464	HGC
V1365741	LGC
V1067558	HGC
V1109394	HGC
V1066144	HGC
V1046055	HGC
V1549500	HGC
V1114426	HGC
V1065539	HGC
V1602908	HGC
V1393635	HGC
V1007951	HGC
V1066648	HGC
V1171010	HGC
V1239784	HGC
V1603001	HGC
V1050687	HGC
V1181936	HGC
V1363555	HGC
V1067114	HGC
V1375517	HGC
V1557734	HGC
V1235913	HGC
V1069376	HGC
V1420994	HGC
V1462237	HGC
V1570731	HGC
V1067088	HGC
V1153240	HGC
V1736881	HGC
V1574627	HGC
V1009346	HGC
V1121567	HGC
V1436641	HGC
V1356896	HGC
V1235912	LGC
V1088148	HGC
V1167012	HGC
V1066664	HGC
V1551811	HGC
V1038810	HGC
V1414483	HGC
V1233016	HGC
V1103554	HGC
V1553939	HGC
V1008596	HGC
V1375370	HGC
V1724620	HGC
V1341867	HGC
V1171816	HGC
V1151424	HGC
V1065923	HGC
V1068297	HGC
V1066640	HGC
V1507092	HGC
V1146847	HGC
V1067559	HGC
V1146501	HGC
V1065536	HGC
V1355408	HGC
V1065916	HGC
V1067955	HGC
V1463976	HGC
V1007084	HGC
V1200084	HGC
V1400820	HGC
V1367500	HGC
V1339799	HGC
V1066925	HGC
V1403556	HGC
V1105002	HGC
V1560688	HGC
V1373615	HGC
V1067581	HGC
V1421921	HGC
V1066613	HGC
V1509142	HGC
V1007441	HGC
V1066917	HGC
V1065433	HGC
V1103275	HGC
V1007060	HGC
