gene	geneCountCategory
V1852142	HGC
V1615108	LGC
V1620445	HGC
V1580955	LGC
V1607555	HGC
V1552804	LGC
V1195882	HGC
V1885559	LGC
V1519450	HGC
V1886517	LGC
V1392216	HGC
V1552772	LGC
V1886558	LGC
V1886416	LGC
V1381099	HGC
V1889488	LGC
V1144304	LGC
V1264549	LGC
V1339711	HGC
V1852109	HGC
V1886598	LGC
V1500383	HGC
V1093074	HGC
V1143984	LGC
V1430882	HGC
V1594051	HGC
V1580921	LGC
V1392051	HGC
V1481366	LGC
V1059001	HGC
V1075411	HGC
V1879897	LGC
V1879868	LGC
V1144329	LGC
V1852124	HGC
V1581223	LGC
V1392169	HGC
V1886965	LGC
V1880135	LGC
V1392006	HGC
V1469363	LGC
V1886547	LGC
V1499093	HGC
V1294526	HGC
V1177462	HGC
V1581807	LGC
V1879918	LGC
V1608313	HGC
V1888250	LGC
V1144133	LGC
V1431066	HGC
V1431657	HGC
V1520185	HGC
V1593025	LGC
V1035515	LGC
V1430573	HGC
V1886513	LGC
V1340884	HGC
V1060343	HGC
V1887155	LGC
V1363976	HGC
V1518341	HGC
V1886538	LGC
V1449303	HGC
V1297375	LGC
V1340164	HGC
V1101641	LGC
V1392944	HGC
V1000497	HGC
V1886629	LGC
V1389769	LGC
V1886712	LGC
V1432440	HGC
V1886560	LGC
V1886400	LGC
V1491685	HGC
V1043994	HGC
V1382759	HGC
V1339886	HGC
V1291806	HGC
V1149241	LGC
V1465413	HGC
V1886446	LGC
V1883280	LGC
V1042632	HGC
V1481472	LGC
V1296235	HGC
V1886614	LGC
V1078022	HGC
V1552713	LGC
V1340709	HGC
V1608734	LGC
V1339861	HGC
V1383592	HGC
V1886619	LGC
V1595138	HGC
V1297356	LGC
V1886702	LGC
V1339870	HGC
V1389384	LGC
V1541236	LGC
V1432307	HGC
V1886202	LGC
V1203845	HGC
V1882887	LGC
V1886116	LGC
V1366482	LGC
V1581637	LGC
V1033375	LGC
V1340000	HGC
V1423938	HGC
V1458257	HGC
V1077866	HGC
V1469390	LGC
V1096225	HGC
V1159530	HGC
V1144385	LGC
V1158726	HGC
V1136382	LGC
V1469298	LGC
V1198404	HGC
V1364188	HGC
V1046755	LGC
V1012818	HGC
V1886966	LGC
V1834858	LGC
V1276102	HGC
V1469520	LGC
V1886605	LGC
V1886466	LGC
V1339962	HGC
V1594601	HGC
V1162651	LGC
V1200639	HGC
V1448171	LGC
V1235922	LGC
V1389989	LGC
V1886498	LGC
V1033302	HGC
V1263210	LGC
V1160507	HGC
V1339995	HGC
V1164826	LGC
V1364575	HGC
V1574099	LGC
V1562543	HGC
V1879847	LGC
V1886616	LGC
V1193840	HGC
V1195980	HGC
V1886957	LGC
V1469285	LGC
V1143837	LGC
V1469373	LGC
V1101909	LGC
V1293700	HGC
V1464388	HGC
V1592800	LGC
V1197333	HGC
V1879985	LGC
V1044037	HGC
V1728013	HGC
V1608857	LGC
V1010320	HGC
V1046752	LGC
V1886580	LGC
V1886447	LGC
V1158598	HGC
V1886409	LGC
V1886389	LGC
V1399511	LGC
V1464522	HGC
V1886438	LGC
V1269184	HGC
V1448294	HGC
V1875142	LGC
V1886721	LGC
V1886512	LGC
V1886618	LGC
V1389743	LGC
V1520692	HGC
V1143929	LGC
V1326948	HGC
V1498827	HGC
V1503145	LGC
V1355689	HGC
V1150071	LGC
V1880119	LGC
V1886728	LGC
V1883385	LGC
V1491718	HGC
V1609073	LGC
V1569000	HGC
V1886674	LGC
V1886462	LGC
V1339707	HGC
V1095734	HGC
V1886303	LGC
V1543350	HGC
V1493421	HGC
V1886654	LGC
V1296618	HGC
V1458258	HGC
V1505555	HGC
V1327041	HGC
V1364363	HGC
V1618374	HGC
V1852033	LGC
V1203277	HGC
V1076023	HGC
V1552738	LGC
V1295628	HGC
V1886477	LGC
V1614739	HGC
V1614891	HGC
V1581212	LGC
V1530689	HGC
V1886399	LGC
V1886557	LGC
V1227353	HGC
V1162261	LGC
V1226419	HGC
V1064859	LGC
V1879848	LGC
V1340013	HGC
V1010605	HGC
V1574805	HGC
V1886500	LGC
V1046252	HGC
V1462275	LGC
V1380652	HGC
V1886405	LGC
V1430689	HGC
V1469327	LGC
V1500069	HGC
V1746777	HGC
V1886482	LGC
V1045334	HGC
V1886386	LGC
V1144426	LGC
V1888234	LGC
V1289168	HGC
V1392302	HGC
V1431931	HGC
V1491909	HGC
V1886508	LGC
V1886408	LGC
V1886673	LGC
V1223012	HGC
V1469287	LGC
V1136929	LGC
V1392654	HGC
V1502305	HGC
V1295801	HGC
V1879906	LGC
V1046120	HGC
V1436037	HGC
V1167258	HGC
V1879857	LGC
V1886070	LGC
V1143990	LGC
V1431561	HGC
V1044644	HGC
V1143974	LGC
V1886569	LGC
V1580703	LGC
V1886506	LGC
V1057035	HGC
V1469297	LGC
V1519499	HGC
V1483378	HGC
V1581644	LGC
V1383644	HGC
V1499765	HGC
V1173516	HGC
V1886651	LGC
V1498466	HGC
V1494140	LGC
V1886516	LGC
V1575814	HGC
V1612261	HGC
V1144147	LGC
V1340423	HGC
V1197540	HGC
V1076018	HGC
V1011016	HGC
V1572527	HGC
V1340575	HGC
V1295278	HGC
V1886422	LGC
V1397554	HGC
V1886552	LGC
V1099628	HGC
V1886553	LGC
V1076095	HGC
V1398959	LGC
V1381169	HGC
V1235874	LGC
V1553528	LGC
V1430708	HGC
V1155989	HGC
V1852051	HGC
V1340377	HGC
V1886658	LGC
V1886639	LGC
V1136980	LGC
V1222051	HGC
V1886699	LGC
V1886579	LGC
V1092303	HGC
V1502070	HGC
V1581271	LGC
V1144117	LGC
V1166828	HGC
V1196872	HGC
V1521086	HGC
V1013250	HGC
V1143335	LGC
V1257307	HGC
V1886502	LGC
V1886725	LGC
V1144349	LGC
V1885605	LGC
V1521548	HGC
V1430423	HGC
V1592583	LGC
V1464316	HGC
V1886473	LGC
V1160180	HGC
V1886509	LGC
V1153972	HGC
V1390099	LGC
V1295524	HGC
V1879901	LGC
V1356684	HGC
V1481392	LGC
V1886570	LGC
V1389777	LGC
V1879895	LGC
V1608937	LGC
V1011009	HGC
V1886503	LGC
V1230131	HGC
V1884213	HGC
V1075476	HGC
V1879957	LGC
V1879966	LGC
V1044917	HGC
V1886253	LGC
V1518834	HGC
V1618815	HGC
V1879841	LGC
V1886584	LGC
V1175702	HGC
V1340518	HGC
V1521314	HGC
V1469318	LGC
V1886628	LGC
V1197979	HGC
V1886635	LGC
V1886652	LGC
V1886439	LGC
V1498665	HGC
V1609487	LGC
V1077816	HGC
V1011015	HGC
V1156119	HGC
V1043313	HGC
V1432359	HGC
V1880122	LGC
V1464505	HGC
V1011014	HGC
V1014517	HGC
V1469339	LGC
V1474281	HGC
V1093789	HGC
V1340235	HGC
V1383406	HGC
V1594751	HGC
V1545673	HGC
V1886613	LGC
V1329957	HGC
V1045139	HGC
V1580963	LGC
V1880664	LGC
V1469421	LGC
V1553636	HGC
V1201618	HGC
V1221634	HGC
V1615592	LGC
V1296100	HGC
V1143821	LGC
V1223853	HGC
V1238174	HGC
V1595331	HGC
V1091633	HGC
V1328684	HGC
V1389813	LGC
V1431018	HGC
V1886679	LGC
V1392163	HGC
V1887017	LGC
V1096366	HGC
V1144283	LGC
V1381260	HGC
V1886554	LGC
V1450022	LGC
V1575304	HGC
V1886412	LGC
V1912187	HGC
V1886713	LGC
V1886724	LGC
V1076392	HGC
V1491800	HGC
V1499283	HGC
V1886680	LGC
V1012925	HGC
V1886546	LGC
V1136910	LGC
V1339935	HGC
V1366663	LGC
V1879849	LGC
V1886476	LGC
V1392504	HGC
V1886401	LGC
V1886485	LGC
V1043762	HGC
V1799411	HGC
V1102240	HGC
V1144065	LGC
V1309298	HGC
V1886593	LGC
V1390046	LGC
